license_leased,@timestamp,total,type,Name
200,2022-01-12 03:00:05.742094,8550,Concurrent Users,in09-vpn-int
0,2022-01-12 03:00:05.742094,8550,Concurrent Users,mdc-ssl-vm
400,2022-01-12 03:00:05.742094,8550,Concurrent Users,us04-vpn-int
5,2022-01-12 03:00:05.742094,8550,Concurrent Users,tw52-vpn-int
50,2022-01-12 03:00:05.742094,8550,Concurrent Users,cl01-vpn-1
250,2022-01-12 03:00:05.742094,8550,Concurrent Users,vn04-ram-1
50,2022-01-12 03:00:05.742094,8550,Concurrent Users,badc-scs-pulse-1
360,2022-01-12 03:00:05.742094,8550,Concurrent Users,cn58-pulse
60,2022-01-12 03:00:05.742094,8550,Concurrent Users,pl01-vpn-int
250,2022-01-12 03:00:05.742094,8550,Concurrent Users,indc-vpn-1-int
250,2022-01-12 03:00:05.742094,8550,Concurrent Users,indc-vpn-2-int
200,2022-01-12 03:00:05.742094,8550,Concurrent Users,jp01-vpn-int
300,2022-01-12 03:00:05.742094,8550,Concurrent Users,in19-vpn-int
500,2022-01-12 03:00:05.742094,8550,Concurrent Users,am04-vpn-vm-new
175,2022-01-12 03:00:05.742094,8550,Concurrent Users,fr65-vpn-int
25,2022-01-12 03:00:05.742094,8550,Concurrent Users,am04-trng-vpn
1500,2022-01-12 03:00:05.742094,8550,Concurrent Users,hqdc-vpn-1
1500,2022-01-12 03:00:05.742094,8550,Concurrent Users,hqdc-vpn-2
200,2022-01-12 03:00:05.742094,8550,Concurrent Users,pt02-vpn-int
5,2022-01-12 03:00:05.742094,8550,Concurrent Users,mdc-vpn-test
150,2022-01-12 03:00:05.742094,8550,Concurrent Users,gb01-vpn-int
70,2022-01-12 03:00:05.742094,8550,Concurrent Users,ru20-vpn-int
50,2022-01-12 03:00:05.742094,8550,Concurrent Users,ca11-vpn
250,2022-01-12 03:00:05.742094,8550,Concurrent Users,us03-vpn-1
250,2022-01-12 03:00:05.742094,8550,Concurrent Users,mdc-vpn-1-int
250,2022-01-12 03:00:05.742094,8550,Concurrent Users,us03-vpn-2
300,2022-01-12 03:00:05.742094,8550,Concurrent Users,ca06-vpn-mgmt
250,2022-01-12 03:00:05.742094,8550,Concurrent Users,mdc-vpn-2-int
100,2022-01-12 03:00:05.742094,8550,Concurrent Users,il01-vpn-int
100,2022-01-12 03:00:05.742094,8550,Concurrent Users,sdc-vpn-int
75,2022-01-12 03:00:05.742094,8550,Concurrent Users,CN30-vpn
75,2022-01-12 03:00:05.742094,8550,Concurrent Users,kr02-vpn-1-int
50,2022-01-12 03:00:05.742094,8550,Concurrent Users,se80-vpn-int
300,2022-01-12 03:00:05.742094,8550,Concurrent Users,tw52-vpn-vm-new
