User,WorkingHours,@timestamp,BU,type
ivo,0:00:01,2020-06-22 19:34:52.206140,BOT,elk
veer,3:48:49,2020-06-22 19:34:52.206140,BOT,elk
tigran,13:08:22,2020-06-22 19:34:52.206140,BOT,elk
edh,0:02:47,2020-06-22 19:34:52.206140,BOT,elk
leo,9:39:30,2020-06-22 19:34:52.206140,BOT,elk
kuma,11:57:10,2020-06-22 19:34:52.206140,BOT,elk
reri,21:06:41,2020-06-22 19:34:52.206140,BOT,elk
olga,8:11:14,2020-06-22 19:34:52.206140,BOT,elk
thea,8:49:44,2020-06-22 19:34:52.206140,BOT,elk
kjohn,2:09:47,2020-06-22 19:34:52.206140,BOT,elk
rath,2:35:09,2020-06-22 19:34:52.206140,BOT,elk
jaeger,11:25:27,2020-06-22 19:34:52.206140,BOT,elk
ric,9:06:41,2020-06-22 19:34:52.206140,BOT,elk
kristof,10:13:20,2020-06-22 19:34:52.206140,BOT,elk
angin,20:30:56,2020-06-22 19:34:52.206140,BOT,elk
sona,1:58:20,2020-06-22 19:34:52.206140,BOT,elk
hov,8:18:04,2020-06-22 19:34:52.206140,BOT,elk
valeri,6:06:19,2020-06-22 19:34:52.206140,BOT,elk
gha,9:25:39,2020-06-22 19:34:52.206140,BOT,elk
and,12:27:54,2020-06-22 19:34:52.206140,BOT,elk
kun,7:50:17,2020-06-22 19:34:52.206140,BOT,elk
xue,6:50:21,2020-06-22 19:34:52.206140,BOT,elk
gye,11:33:28,2020-06-22 19:34:52.206140,BOT,elk
ran,0:56:37,2020-06-22 19:34:52.206140,BOT,elk
tra,0:14:28,2020-06-22 19:34:52.206140,BOT,elk
ander,0:33:41,2020-06-22 19:34:52.206140,BOT,elk
ren,9:08:45,2020-06-22 19:34:52.206140,BOT,elk
lex,15:48:46,2020-06-22 19:34:52.206140,BOT,elk
can,3:57:04,2020-06-22 19:34:52.206140,BOT,elk
clara,9:31:04,2020-06-22 19:34:52.206140,BOT,elk
anc,10:09:55,2020-06-22 19:34:52.206140,BOT,elk
alexan,10:19:19,2020-06-22 19:34:52.206140,BOT,elk
rana,4:25:07,2020-06-22 19:34:52.206140,BOT,elk
vik,0:00:55,2020-06-22 19:34:52.206140,BOT,elk
riya,13:16:22,2020-06-22 19:34:52.206140,BOT,elk
anthony,6:33:19,2020-06-22 19:34:52.206140,BOT,elk
ashfaq,2:39:58,2020-06-22 19:34:52.206140,BOT,elk
amani,14:19:40,2020-06-22 19:34:52.206140,BOT,elk
