User,WorkingHours,@timestamp,BU,type
anar,10:09:27,2020-06-22 19:34:52.206140,CTO,elk
zhou,13:47:17,2020-06-22 19:34:52.206140,CTO,elk
kuma,11:57:10,2020-06-22 19:34:52.206140,CTO,elk
nara,6:01:15,2020-06-22 19:34:52.206140,CTO,elk
ric,9:06:41,2020-06-22 19:34:52.206140,CTO,elk
aras,2:50:56,2020-06-22 19:34:52.206140,CTO,elk
nane,0:02:45,2020-06-22 19:34:52.206140,CTO,elk
and,12:27:54,2020-06-22 19:34:52.206140,CTO,elk
hou,13:42:43,2020-06-22 19:34:52.206140,CTO,elk
ran,0:56:37,2020-06-22 19:34:52.206140,CTO,elk
tra,0:14:28,2020-06-22 19:34:52.206140,CTO,elk
wenc,4:11:36,2020-06-22 19:34:52.206140,CTO,elk
yingc,1:41:12,2020-06-22 19:34:52.206140,CTO,elk
mbrad,0:13:43,2020-06-22 19:34:52.206140,CTO,elk
anc,10:09:55,2020-06-22 19:34:52.206140,CTO,elk
nch,10:38:27,2020-06-22 19:34:52.206140,CTO,elk
ean,11:10:05,2020-06-22 19:34:52.206140,CTO,elk
bala,17:29:29,2020-06-22 19:34:52.206140,CTO,elk
riya,13:16:22,2020-06-22 19:34:52.206140,CTO,elk
ono,15:18:23,2020-06-22 19:34:52.206140,CTO,elk
praj,13:48:50,2020-06-22 19:34:52.206140,CTO,elk
phi,9:02:27,2020-06-22 19:34:52.206140,CTO,elk
nas,20:25:48,2020-06-22 19:34:52.206140,CTO,elk
mag,2:08:34,2020-06-22 19:34:52.206140,CTO,elk
nell,4:23:39,2020-06-22 19:34:52.206140,CTO,elk
aro,8:52:31,2020-06-22 19:34:52.206140,CTO,elk
man,11:12:00,2020-06-22 19:34:52.206140,CTO,elk
gho,4:10:05,2020-06-22 19:34:52.206140,CTO,elk
mit,4:11:45,2020-06-22 19:34:52.206140,CTO,elk
sax,9:29:11,2020-06-22 19:34:52.206140,CTO,elk
mbr,8:25:54,2020-06-22 19:34:52.206140,CTO,elk
ria,0:15:05,2020-06-22 19:34:52.206140,CTO,elk
shra,11:04:24,2020-06-22 19:34:52.206140,CTO,elk
kot,10:56:07,2020-06-22 19:34:52.206140,CTO,elk
rgk,0:35:23,2020-06-22 19:34:52.206140,CTO,elk
mal,11:04:03,2020-06-22 19:34:52.206140,CTO,elk
arn,6:31:47,2020-06-22 19:34:52.206140,CTO,elk
had,16:56:43,2020-06-22 19:34:52.206140,CTO,elk
gaura,8:27:19,2020-06-22 19:34:52.206140,CTO,elk
sharma,12:28:54,2020-06-22 19:34:52.206140,CTO,elk
santo,14:58:29,2020-06-22 19:34:52.206140,CTO,elk
mishr,8:21:45,2020-06-22 19:34:52.206140,CTO,elk
raje,1:30:16,2020-06-22 19:34:52.206140,CTO,elk
mis,12:22:35,2020-06-22 19:34:52.206140,CTO,elk
wsc,2:36:07,2020-06-22 19:34:52.206140,CTO,elk
hot,8:07:17,2020-06-22 19:34:52.206140,CTO,elk
nwang,3:25:28,2020-06-22 19:34:52.206140,CTO,elk
ebo,0:01:38,2020-06-22 19:34:52.206140,CTO,elk
saxena,8:08:26,2020-06-22 19:34:52.206140,CTO,elk
mei,4:45:25,2020-06-22 19:34:52.206140,CTO,elk
ndu,3:43:35,2020-06-22 19:34:52.206140,CTO,elk
van,22:50:28,2020-06-22 19:34:52.206140,CTO,elk
