User,WorkingHours,@timestamp,BU,type
ivo,0:00:01,2020-06-22 19:34:52.206140,DG,elk
anao,4:58:44,2020-06-22 19:34:52.206140,DG,elk
jsa,6:07:51,2020-06-22 19:34:52.206140,DG,elk
anar,10:09:27,2020-06-22 19:34:52.206140,DG,elk
oliverb,0:30:55,2020-06-22 19:34:52.206140,DG,elk
eleanora,9:07:40,2020-06-22 19:34:52.206140,DG,elk
hboluki,3:10:17,2020-06-22 19:34:52.206140,DG,elk
dimitrio,9:47:01,2020-06-22 19:34:52.206140,DG,elk
resterl,8:44:22,2020-06-22 19:34:52.206140,DG,elk
veer,3:48:49,2020-06-22 19:34:52.206140,DG,elk
michalis,1:12:22,2020-06-22 19:34:52.206140,DG,elk
reto,13:07:20,2020-06-22 19:34:52.206140,DG,elk
tigran,13:08:22,2020-06-22 19:34:52.206140,DG,elk
nzaghlan,0:03:38,2020-06-22 19:34:52.206140,DG,elk
heiding,10:18:10,2020-06-22 19:34:52.206140,DG,elk
abaldi,7:37:37,2020-06-22 19:34:52.206140,DG,elk
thim,8:39:52,2020-06-22 19:34:52.206140,DG,elk
ecklk,0:00:01,2020-06-22 19:34:52.206140,DG,elk
hart,3:16:46,2020-06-22 19:34:52.206140,DG,elk
peters,0:21:42,2020-06-22 19:34:52.206140,DG,elk
ianc,0:22:25,2020-06-22 19:34:52.206140,DG,elk
didier,0:03:24,2020-06-22 19:34:52.206140,DG,elk
dalko,7:53:18,2020-06-22 19:34:52.206140,DG,elk
edh,0:02:47,2020-06-22 19:34:52.206140,DG,elk
leo,9:39:30,2020-06-22 19:34:52.206140,DG,elk
davejohn,0:04:55,2020-06-22 19:34:52.206140,DG,elk
franzm,0:21:45,2020-06-22 19:34:52.206140,DG,elk
rferner,7:28:40,2020-06-22 19:34:52.206140,DG,elk
zhou,13:47:17,2020-06-22 19:34:52.206140,DG,elk
kuma,11:57:10,2020-06-22 19:34:52.206140,DG,elk
cem,5:33:32,2020-06-22 19:34:52.206140,DG,elk
rego,8:25:26,2020-06-22 19:34:52.206140,DG,elk
liana,6:37:23,2020-06-22 19:34:52.206140,DG,elk
ivank,11:17:25,2020-06-22 19:34:52.206140,DG,elk
dbountas,4:19:34,2020-06-22 19:34:52.206140,DG,elk
niels,5:59:15,2020-06-22 19:34:52.206140,DG,elk
emma,0:25:20,2020-06-22 19:34:52.206140,DG,elk
hila,2:29:42,2020-06-22 19:34:52.206140,DG,elk
reinsch,3:03:51,2020-06-22 19:34:52.206140,DG,elk
nolting,9:59:37,2020-06-22 19:34:52.206140,DG,elk
cathal,9:00:53,2020-06-22 19:34:52.206140,DG,elk
areg,10:35:32,2020-06-22 19:34:52.206140,DG,elk
twan,7:12:10,2020-06-22 19:34:52.206140,DG,elk
zhil,8:45:20,2020-06-22 19:34:52.206140,DG,elk
grubert,2:32:17,2020-06-22 19:34:52.206140,DG,elk
nikola,3:36:01,2020-06-22 19:34:52.206140,DG,elk
alina,3:20:36,2020-06-22 19:34:52.206140,DG,elk
reri,21:06:41,2020-06-22 19:34:52.206140,DG,elk
nasr,10:19:46,2020-06-22 19:34:52.206140,DG,elk
bclaude,10:37:46,2020-06-22 19:34:52.206140,DG,elk
kant,11:06:50,2020-06-22 19:34:52.206140,DG,elk
fgenin,9:24:06,2020-06-22 19:34:52.206140,DG,elk
kees,12:15:09,2020-06-22 19:34:52.206140,DG,elk
brecht,9:59:42,2020-06-22 19:34:52.206140,DG,elk
amins,10:16:49,2020-06-22 19:34:52.206140,DG,elk
anke,8:23:38,2020-06-22 19:34:52.206140,DG,elk
gernot,0:02:48,2020-06-22 19:34:52.206140,DG,elk
rath,2:35:09,2020-06-22 19:34:52.206140,DG,elk
jpeters,10:58:44,2020-06-22 19:34:52.206140,DG,elk
michi,9:42:54,2020-06-22 19:34:52.206140,DG,elk
claudiai,9:34:54,2020-06-22 19:34:52.206140,DG,elk
nara,6:01:15,2020-06-22 19:34:52.206140,DG,elk
