User,WorkingHours,@timestamp,BU,type
zhou,13:47:17,2020-06-22 19:34:52.206140,DTG,elk
rath,2:35:09,2020-06-22 19:34:52.206140,DTG,elk
ric,9:06:41,2020-06-22 19:34:52.206140,DTG,elk
jos,10:10:18,2020-06-22 19:34:52.206140,DTG,elk
dnichol,9:51:52,2020-06-22 19:34:52.206140,DTG,elk
hami,12:00:49,2020-06-22 19:34:52.206140,DTG,elk
aras,2:50:56,2020-06-22 19:34:52.206140,DTG,elk
and,12:27:54,2020-06-22 19:34:52.206140,DTG,elk
xue,6:50:21,2020-06-22 19:34:52.206140,DTG,elk
hou,13:42:43,2020-06-22 19:34:52.206140,DTG,elk
ran,0:56:37,2020-06-22 19:34:52.206140,DTG,elk
ren,9:08:45,2020-06-22 19:34:52.206140,DTG,elk
xia,6:38:08,2020-06-22 19:34:52.206140,DTG,elk
can,3:57:04,2020-06-22 19:34:52.206140,DTG,elk
costa,0:04:40,2020-06-22 19:34:52.206140,DTG,elk
jave,3:43:13,2020-06-22 19:34:52.206140,DTG,elk
gab,8:22:25,2020-06-22 19:34:52.206140,DTG,elk
anc,10:09:55,2020-06-22 19:34:52.206140,DTG,elk
nch,10:38:27,2020-06-22 19:34:52.206140,DTG,elk
ean,11:10:05,2020-06-22 19:34:52.206140,DTG,elk
arvind,15:35:04,2020-06-22 19:34:52.206140,DTG,elk
oks,1:30:55,2020-06-22 19:34:52.206140,DTG,elk
shu,15:24:55,2020-06-22 19:34:52.206140,DTG,elk
mira,4:57:44,2020-06-22 19:34:52.206140,DTG,elk
nas,20:25:48,2020-06-22 19:34:52.206140,DTG,elk
smi,2:04:13,2020-06-22 19:34:52.206140,DTG,elk
alak,0:53:21,2020-06-22 19:34:52.206140,DTG,elk
ila,13:37:56,2020-06-22 19:34:52.206140,DTG,elk
suh,0:54:04,2020-06-22 19:34:52.206140,DTG,elk
dev,5:59:30,2020-06-22 19:34:52.206140,DTG,elk
vis,10:57:15,2020-06-22 19:34:52.206140,DTG,elk
urd,18:01:12,2020-06-22 19:34:52.206140,DTG,elk
jayr,0:44:34,2020-06-22 19:34:52.206140,DTG,elk
aro,8:52:31,2020-06-22 19:34:52.206140,DTG,elk
acho,4:29:38,2020-06-22 19:34:52.206140,DTG,elk
bar,23:44:56,2020-06-22 19:34:52.206140,DTG,elk
man,11:12:00,2020-06-22 19:34:52.206140,DTG,elk
mit,4:11:45,2020-06-22 19:34:52.206140,DTG,elk
chat,15:11:02,2020-06-22 19:34:52.206140,DTG,elk
mal,11:04:03,2020-06-22 19:34:52.206140,DTG,elk
arn,6:31:47,2020-06-22 19:34:52.206140,DTG,elk
kha,1:47:53,2020-06-22 19:34:52.206140,DTG,elk
had,16:56:43,2020-06-22 19:34:52.206140,DTG,elk
thoma,13:06:48,2020-06-22 19:34:52.206140,DTG,elk
abh,12:38:57,2020-06-22 19:34:52.206140,DTG,elk
sanj,1:09:39,2020-06-22 19:34:52.206140,DTG,elk
raje,1:30:16,2020-06-22 19:34:52.206140,DTG,elk
patrick,4:31:29,2020-06-22 19:34:52.206140,DTG,elk
chung,0:13:32,2020-06-22 19:34:52.206140,DTG,elk
yuh,2:55:28,2020-06-22 19:34:52.206140,DTG,elk
pen,0:50:52,2020-06-22 19:34:52.206140,DTG,elk
hsi,3:13:59,2020-06-22 19:34:52.206140,DTG,elk
set,5:45:31,2020-06-22 19:34:52.206140,DTG,elk
yung,4:19:54,2020-06-22 19:34:52.206140,DTG,elk
tri,13:10:24,2020-06-22 19:34:52.206140,DTG,elk
rpan,2:59:27,2020-06-22 19:34:52.206140,DTG,elk
sri,0:45:42,2020-06-22 19:34:52.206140,DTG,elk
mei,4:45:25,2020-06-22 19:34:52.206140,DTG,elk
jai,7:31:36,2020-06-22 19:34:52.206140,DTG,elk
desa,0:06:27,2020-06-22 19:34:52.206140,DTG,elk
van,22:50:28,2020-06-22 19:34:52.206140,DTG,elk
knapp,0:05:18,2020-06-22 19:34:52.206140,DTG,elk
zen,4:05:23,2020-06-22 19:34:52.206140,DTG,elk
