User,WorkingHours,@timestamp,BU,type
baumann,9:20:53,2020-06-22 19:34:52.206140,DVT,elk
kuma,11:57:10,2020-06-22 19:34:52.206140,DVT,elk
cem,5:33:32,2020-06-22 19:34:52.206140,DVT,elk
rath,2:35:09,2020-06-22 19:34:52.206140,DVT,elk
ric,9:06:41,2020-06-22 19:34:52.206140,DVT,elk
and,12:27:54,2020-06-22 19:34:52.206140,DVT,elk
zhu,13:57:18,2020-06-22 19:34:52.206140,DVT,elk
ran,0:56:37,2020-06-22 19:34:52.206140,DVT,elk
tra,0:14:28,2020-06-22 19:34:52.206140,DVT,elk
ren,9:08:45,2020-06-22 19:34:52.206140,DVT,elk
hanl,6:49:42,2020-06-22 19:34:52.206140,DVT,elk
harsh,5:48:38,2020-06-22 19:34:52.206140,DVT,elk
shu,15:24:55,2020-06-22 19:34:52.206140,DVT,elk
rali,0:31:54,2020-06-22 19:34:52.206140,DVT,elk
gao,2:36:13,2020-06-22 19:34:52.206140,DVT,elk
ila,13:37:56,2020-06-22 19:34:52.206140,DVT,elk
lane,0:31:23,2020-06-22 19:34:52.206140,DVT,elk
bar,23:44:56,2020-06-22 19:34:52.206140,DVT,elk
man,11:12:00,2020-06-22 19:34:52.206140,DVT,elk
gho,4:10:05,2020-06-22 19:34:52.206140,DVT,elk
mit,4:11:45,2020-06-22 19:34:52.206140,DVT,elk
muk,7:04:24,2020-06-22 19:34:52.206140,DVT,elk
beg,11:03:08,2020-06-22 19:34:52.206140,DVT,elk
sing,11:24:03,2020-06-22 19:34:52.206140,DVT,elk
mbr,8:25:54,2020-06-22 19:34:52.206140,DVT,elk
ria,0:15:05,2020-06-22 19:34:52.206140,DVT,elk
nay,11:10:51,2020-06-22 19:34:52.206140,DVT,elk
arti,5:16:11,2020-06-22 19:34:52.206140,DVT,elk
kan,2:22:05,2020-06-22 19:34:52.206140,DVT,elk
rag,9:56:34,2020-06-22 19:34:52.206140,DVT,elk
tanu,3:56:47,2020-06-22 19:34:52.206140,DVT,elk
mal,11:04:03,2020-06-22 19:34:52.206140,DVT,elk
artin,7:49:53,2020-06-22 19:34:52.206140,DVT,elk
mann,9:05:29,2020-06-22 19:34:52.206140,DVT,elk
arn,6:31:47,2020-06-22 19:34:52.206140,DVT,elk
rik,10:01:04,2020-06-22 19:34:52.206140,DVT,elk
vku,14:08:58,2020-06-22 19:34:52.206140,DVT,elk
kha,1:47:53,2020-06-22 19:34:52.206140,DVT,elk
vaz,12:06:54,2020-06-22 19:34:52.206140,DVT,elk
gaura,8:27:19,2020-06-22 19:34:52.206140,DVT,elk
sanj,1:09:39,2020-06-22 19:34:52.206140,DVT,elk
mehr,8:50:23,2020-06-22 19:34:52.206140,DVT,elk
onishi,8:31:08,2020-06-22 19:34:52.206140,DVT,elk
pen,0:50:52,2020-06-22 19:34:52.206140,DVT,elk
hsi,3:13:59,2020-06-22 19:34:52.206140,DVT,elk
tri,13:10:24,2020-06-22 19:34:52.206140,DVT,elk
sri,0:45:42,2020-06-22 19:34:52.206140,DVT,elk
fredr,4:17:01,2020-06-22 19:34:52.206140,DVT,elk
steel,0:00:01,2020-06-22 19:34:52.206140,DVT,elk
bma,3:20:41,2020-06-22 19:34:52.206140,DVT,elk
