User,WorkingHours,@timestamp,BU,type
fonseca,11:02:48,2020-06-22 19:34:52.206140,FIN,elk
csilva,2:31:50,2020-06-22 19:34:52.206140,FIN,elk
anao,4:58:44,2020-06-22 19:34:52.206140,FIN,elk
junio,3:19:02,2020-06-22 19:34:52.206140,FIN,elk
stabarce,16:48:38,2020-06-22 19:34:52.206140,FIN,elk
csanches,0:07:53,2020-06-22 19:34:52.206140,FIN,elk
estevao,0:36:36,2020-06-22 19:34:52.206140,FIN,elk
ssoares,3:12:51,2020-06-22 19:34:52.206140,FIN,elk
ldiogo,2:25:56,2020-06-22 19:34:52.206140,FIN,elk
almeida,8:16:14,2020-06-22 19:34:52.206140,FIN,elk
emanueld,6:29:44,2020-06-22 19:34:52.206140,FIN,elk
anar,10:09:27,2020-06-22 19:34:52.206140,FIN,elk
veer,3:48:49,2020-06-22 19:34:52.206140,FIN,elk
madhuri,19:44:36,2020-06-22 19:34:52.206140,FIN,elk
goncaloc,8:55:33,2020-06-22 19:34:52.206140,FIN,elk
gampa,0:33:04,2020-06-22 19:34:52.206140,FIN,elk
eglej,1:53:19,2020-06-22 19:34:52.206140,FIN,elk
pierau,8:50:37,2020-06-22 19:34:52.206140,FIN,elk
thim,8:39:52,2020-06-22 19:34:52.206140,FIN,elk
vanaalst,7:18:01,2020-06-22 19:34:52.206140,FIN,elk
hart,3:16:46,2020-06-22 19:34:52.206140,FIN,elk
palmeida,7:11:06,2020-06-22 19:34:52.206140,FIN,elk
ianc,0:22:25,2020-06-22 19:34:52.206140,FIN,elk
didier,0:03:24,2020-06-22 19:34:52.206140,FIN,elk
mkarpina,1:39:15,2020-06-22 19:34:52.206140,FIN,elk
aaraujo,2:25:48,2020-06-22 19:34:52.206140,FIN,elk
bataille,10:49:09,2020-06-22 19:34:52.206140,FIN,elk
elenab,9:36:20,2020-06-22 19:34:52.206140,FIN,elk
leo,9:39:30,2020-06-22 19:34:52.206140,FIN,elk
zhou,13:47:17,2020-06-22 19:34:52.206140,FIN,elk
kuma,11:57:10,2020-06-22 19:34:52.206140,FIN,elk
gorm,8:39:25,2020-06-22 19:34:52.206140,FIN,elk
cem,5:33:32,2020-06-22 19:34:52.206140,FIN,elk
gmolnar,6:04:34,2020-06-22 19:34:52.206140,FIN,elk
rego,8:25:26,2020-06-22 19:34:52.206140,FIN,elk
eamonn,8:24:36,2020-06-22 19:34:52.206140,FIN,elk
ottof,2:21:03,2020-06-22 19:34:52.206140,FIN,elk
emma,0:25:20,2020-06-22 19:34:52.206140,FIN,elk
sinka,9:22:56,2020-06-22 19:34:52.206140,FIN,elk
hila,2:29:42,2020-06-22 19:34:52.206140,FIN,elk
tiziana,8:42:31,2020-06-22 19:34:52.206140,FIN,elk
olga,8:11:14,2020-06-22 19:34:52.206140,FIN,elk
areg,10:35:32,2020-06-22 19:34:52.206140,FIN,elk
mosulliv,0:06:59,2020-06-22 19:34:52.206140,FIN,elk
kdani,10:12:00,2020-06-22 19:34:52.206140,FIN,elk
reri,21:06:41,2020-06-22 19:34:52.206140,FIN,elk
snara,11:32:40,2020-06-22 19:34:52.206140,FIN,elk
kant,11:06:50,2020-06-22 19:34:52.206140,FIN,elk
canavan,11:42:52,2020-06-22 19:34:52.206140,FIN,elk
jguimara,22:56:26,2020-06-22 19:34:52.206140,FIN,elk
bgaona,0:00:01,2020-06-22 19:34:52.206140,FIN,elk
anke,8:23:38,2020-06-22 19:34:52.206140,FIN,elk
jcasey,9:16:57,2020-06-22 19:34:52.206140,FIN,elk
rath,2:35:09,2020-06-22 19:34:52.206140,FIN,elk
michi,9:42:54,2020-06-22 19:34:52.206140,FIN,elk
bcamp,9:41:59,2020-06-22 19:34:52.206140,FIN,elk
nara,6:01:15,2020-06-22 19:34:52.206140,FIN,elk
awarzala,8:31:44,2020-06-22 19:34:52.206140,FIN,elk
marq,7:00:31,2020-06-22 19:34:52.206140,FIN,elk
lorena,5:40:23,2020-06-22 19:34:52.206140,FIN,elk
ric,9:06:41,2020-06-22 19:34:52.206140,FIN,elk
ubohra,8:04:50,2020-06-22 19:34:52.206140,FIN,elk
yuxi,11:36:16,2020-06-22 19:34:52.206140,FIN,elk
jos,10:10:18,2020-06-22 19:34:52.206140,FIN,elk
hami,12:00:49,2020-06-22 19:34:52.206140,FIN,elk
ruzan,16:39:35,2020-06-22 19:34:52.206140,FIN,elk
garry,5:34:19,2020-06-22 19:34:52.206140,FIN,elk
ashko,6:47:49,2020-06-22 19:34:52.206140,FIN,elk
anush,6:09:36,2020-06-22 19:34:52.206140,FIN,elk
hov,8:18:04,2020-06-22 19:34:52.206140,FIN,elk
haykuhi,19:40:03,2020-06-22 19:34:52.206140,FIN,elk
geghamk,3:40:14,2020-06-22 19:34:52.206140,FIN,elk
sveta,0:18:12,2020-06-22 19:34:52.206140,FIN,elk
valeri,6:06:19,2020-06-22 19:34:52.206140,FIN,elk
nane,0:02:45,2020-06-22 19:34:52.206140,FIN,elk
pluzyan,3:09:02,2020-06-22 19:34:52.206140,FIN,elk
gha,9:25:39,2020-06-22 19:34:52.206140,FIN,elk
agrigory,0:44:19,2020-06-22 19:34:52.206140,FIN,elk
arman,8:45:15,2020-06-22 19:34:52.206140,FIN,elk
karo,12:46:11,2020-06-22 19:34:52.206140,FIN,elk
and,12:27:54,2020-06-22 19:34:52.206140,FIN,elk
edita,0:47:15,2020-06-22 19:34:52.206140,FIN,elk
gurgent,12:59:03,2020-06-22 19:34:52.206140,FIN,elk
amariam,11:29:51,2020-06-22 19:34:52.206140,FIN,elk
rodr,14:04:23,2020-06-22 19:34:52.206140,FIN,elk
micha,1:36:04,2020-06-22 19:34:52.206140,FIN,elk
acha,1:59:40,2020-06-22 19:34:52.206140,FIN,elk
ruidong,3:44:32,2020-06-22 19:34:52.206140,FIN,elk
