User,WorkingHours,@timestamp,BU,type
colm,13:01:48,2020-06-22 19:34:52.206140,FOI,elk
hart,3:16:46,2020-06-22 19:34:52.206140,FOI,elk
leo,9:39:30,2020-06-22 19:34:52.206140,FOI,elk
rego,8:25:26,2020-06-22 19:34:52.206140,FOI,elk
ric,9:06:41,2020-06-22 19:34:52.206140,FOI,elk
jos,10:10:18,2020-06-22 19:34:52.206140,FOI,elk
garry,5:34:19,2020-06-22 19:34:52.206140,FOI,elk
hov,8:18:04,2020-06-22 19:34:52.206140,FOI,elk
roman,1:23:23,2020-06-22 19:34:52.206140,FOI,elk
gha,9:25:39,2020-06-22 19:34:52.206140,FOI,elk
and,12:27:54,2020-06-22 19:34:52.206140,FOI,elk
micha,1:36:04,2020-06-22 19:34:52.206140,FOI,elk
yanc,9:23:31,2020-06-22 19:34:52.206140,FOI,elk
ran,0:56:37,2020-06-22 19:34:52.206140,FOI,elk
tra,0:14:28,2020-06-22 19:34:52.206140,FOI,elk
ren,9:08:45,2020-06-22 19:34:52.206140,FOI,elk
lex,15:48:46,2020-06-22 19:34:52.206140,FOI,elk
boli,0:08:14,2020-06-22 19:34:52.206140,FOI,elk
can,3:57:04,2020-06-22 19:34:52.206140,FOI,elk
heng,4:17:12,2020-06-22 19:34:52.206140,FOI,elk
gab,8:22:25,2020-06-22 19:34:52.206140,FOI,elk
anc,10:09:55,2020-06-22 19:34:52.206140,FOI,elk
nch,10:38:27,2020-06-22 19:34:52.206140,FOI,elk
rana,4:25:07,2020-06-22 19:34:52.206140,FOI,elk
ean,11:10:05,2020-06-22 19:34:52.206140,FOI,elk
paik,2:58:55,2020-06-22 19:34:52.206140,FOI,elk
yota,11:08:00,2020-06-22 19:34:52.206140,FOI,elk
amani,14:19:40,2020-06-22 19:34:52.206140,FOI,elk
nelson,9:53:03,2020-06-22 19:34:52.206140,FOI,elk
nas,20:25:48,2020-06-22 19:34:52.206140,FOI,elk
smi,2:04:13,2020-06-22 19:34:52.206140,FOI,elk
mag,2:08:34,2020-06-22 19:34:52.206140,FOI,elk
kare,16:23:45,2020-06-22 19:34:52.206140,FOI,elk
avin,1:56:27,2020-06-22 19:34:52.206140,FOI,elk
neel,0:07:38,2020-06-22 19:34:52.206140,FOI,elk
aro,8:52:31,2020-06-22 19:34:52.206140,FOI,elk
tony,0:30:06,2020-06-22 19:34:52.206140,FOI,elk
assa,6:28:19,2020-06-22 19:34:52.206140,FOI,elk
bar,23:44:56,2020-06-22 19:34:52.206140,FOI,elk
para,15:11:02,2020-06-22 19:34:52.206140,FOI,elk
roche,15:09:40,2020-06-22 19:34:52.206140,FOI,elk
man,11:12:00,2020-06-22 19:34:52.206140,FOI,elk
mit,4:11:45,2020-06-22 19:34:52.206140,FOI,elk
kola,8:45:54,2020-06-22 19:34:52.206140,FOI,elk
digan,7:37:37,2020-06-22 19:34:52.206140,FOI,elk
gol,12:16:58,2020-06-22 19:34:52.206140,FOI,elk
aman,12:26:50,2020-06-22 19:34:52.206140,FOI,elk
kul,8:29:57,2020-06-22 19:34:52.206140,FOI,elk
mal,11:04:03,2020-06-22 19:34:52.206140,FOI,elk
arn,6:31:47,2020-06-22 19:34:52.206140,FOI,elk
kha,1:47:53,2020-06-22 19:34:52.206140,FOI,elk
had,16:56:43,2020-06-22 19:34:52.206140,FOI,elk
chae,11:45:00,2020-06-22 19:34:52.206140,FOI,elk
pen,0:50:52,2020-06-22 19:34:52.206140,FOI,elk
tri,13:10:24,2020-06-22 19:34:52.206140,FOI,elk
madi,1:39:09,2020-06-22 19:34:52.206140,FOI,elk
dugg,0:52:35,2020-06-22 19:34:52.206140,FOI,elk
