User,WorkingHours,@timestamp,BU,type
ssilva,11:42:31,2020-06-22 19:34:52.206140,HRFA,elk
marques,10:56:02,2020-06-22 19:34:52.206140,HRFA,elk
colm,13:01:48,2020-06-22 19:34:52.206140,HRFA,elk
mikam,6:50:48,2020-06-22 19:34:52.206140,HRFA,elk
melle,9:45:46,2020-06-22 19:34:52.206140,HRFA,elk
porho,9:18:14,2020-06-22 19:34:52.206140,HRFA,elk
ianc,0:22:25,2020-06-22 19:34:52.206140,HRFA,elk
leo,9:39:30,2020-06-22 19:34:52.206140,HRFA,elk
zhou,13:47:17,2020-06-22 19:34:52.206140,HRFA,elk
kuma,11:57:10,2020-06-22 19:34:52.206140,HRFA,elk
liana,6:37:23,2020-06-22 19:34:52.206140,HRFA,elk
niels,5:59:15,2020-06-22 19:34:52.206140,HRFA,elk
hila,2:29:42,2020-06-22 19:34:52.206140,HRFA,elk
olga,8:11:14,2020-06-22 19:34:52.206140,HRFA,elk
nikola,3:36:01,2020-06-22 19:34:52.206140,HRFA,elk
alina,3:20:36,2020-06-22 19:34:52.206140,HRFA,elk
mariap,11:03:40,2020-06-22 19:34:52.206140,HRFA,elk
shill,8:40:39,2020-06-22 19:34:52.206140,HRFA,elk
bobrovsk,8:53:06,2020-06-22 19:34:52.206140,HRFA,elk
anke,8:23:38,2020-06-22 19:34:52.206140,HRFA,elk
rath,2:35:09,2020-06-22 19:34:52.206140,HRFA,elk
nlucy,10:42:37,2020-06-22 19:34:52.206140,HRFA,elk
nara,6:01:15,2020-06-22 19:34:52.206140,HRFA,elk
kirsten,8:52:23,2020-06-22 19:34:52.206140,HRFA,elk
ireichel,9:34:12,2020-06-22 19:34:52.206140,HRFA,elk
marq,7:00:31,2020-06-22 19:34:52.206140,HRFA,elk
ionel,5:12:32,2020-06-22 19:34:52.206140,HRFA,elk
ric,9:06:41,2020-06-22 19:34:52.206140,HRFA,elk
heggl,8:43:38,2020-06-22 19:34:52.206140,HRFA,elk
wendyt,8:17:38,2020-06-22 19:34:52.206140,HRFA,elk
jos,10:10:18,2020-06-22 19:34:52.206140,HRFA,elk
ruzan,16:39:35,2020-06-22 19:34:52.206140,HRFA,elk
klara,7:25:37,2020-06-22 19:34:52.206140,HRFA,elk
gagik,9:26:24,2020-06-22 19:34:52.206140,HRFA,elk
yurik,9:15:32,2020-06-22 19:34:52.206140,HRFA,elk
hasmikm,0:40:21,2020-06-22 19:34:52.206140,HRFA,elk
saro,13:33:52,2020-06-22 19:34:52.206140,HRFA,elk
roman,1:23:23,2020-06-22 19:34:52.206140,HRFA,elk
hov,8:18:04,2020-06-22 19:34:52.206140,HRFA,elk
narekma,6:13:31,2020-06-22 19:34:52.206140,HRFA,elk
osanna,8:40:37,2020-06-22 19:34:52.206140,HRFA,elk
gha,9:25:39,2020-06-22 19:34:52.206140,HRFA,elk
satenik,9:35:49,2020-06-22 19:34:52.206140,HRFA,elk
hasmikk,8:35:46,2020-06-22 19:34:52.206140,HRFA,elk
nruzan,10:03:08,2020-06-22 19:34:52.206140,HRFA,elk
and,12:27:54,2020-06-22 19:34:52.206140,HRFA,elk
