User,WorkingHours,@timestamp,BU,type
fonseca,11:02:48,2020-06-22 19:34:52.206140,IT,elk
stabarce,16:48:38,2020-06-22 19:34:52.206140,IT,elk
estevao,0:36:36,2020-06-22 19:34:52.206140,IT,elk
ssoares,3:12:51,2020-06-22 19:34:52.206140,IT,elk
almeida,8:16:14,2020-06-22 19:34:52.206140,IT,elk
emanueld,6:29:44,2020-06-22 19:34:52.206140,IT,elk
anar,10:09:27,2020-06-22 19:34:52.206140,IT,elk
veer,3:48:49,2020-06-22 19:34:52.206140,IT,elk
madhuri,19:44:36,2020-06-22 19:34:52.206140,IT,elk
goncaloc,8:55:33,2020-06-22 19:34:52.206140,IT,elk
pierau,8:50:37,2020-06-22 19:34:52.206140,IT,elk
vanaalst,7:18:01,2020-06-22 19:34:52.206140,IT,elk
palmeida,7:11:06,2020-06-22 19:34:52.206140,IT,elk
zhou,13:47:17,2020-06-22 19:34:52.206140,IT,elk
kuma,11:57:10,2020-06-22 19:34:52.206140,IT,elk
ottof,2:21:03,2020-06-22 19:34:52.206140,IT,elk
hila,2:29:42,2020-06-22 19:34:52.206140,IT,elk
snara,11:32:40,2020-06-22 19:34:52.206140,IT,elk
jguimara,22:56:26,2020-06-22 19:34:52.206140,IT,elk
bgaona,0:00:01,2020-06-22 19:34:52.206140,IT,elk
rath,2:35:09,2020-06-22 19:34:52.206140,IT,elk
michi,9:42:54,2020-06-22 19:34:52.206140,IT,elk
bcamp,9:41:59,2020-06-22 19:34:52.206140,IT,elk
nara,6:01:15,2020-06-22 19:34:52.206140,IT,elk
lorena,5:40:23,2020-06-22 19:34:52.206140,IT,elk
jos,10:10:18,2020-06-22 19:34:52.206140,IT,elk
garry,5:34:19,2020-06-22 19:34:52.206140,IT,elk
ashko,6:47:49,2020-06-22 19:34:52.206140,IT,elk
hov,8:18:04,2020-06-22 19:34:52.206140,IT,elk
sveta,0:18:12,2020-06-22 19:34:52.206140,IT,elk
agrigory,0:44:19,2020-06-22 19:34:52.206140,IT,elk
and,12:27:54,2020-06-22 19:34:52.206140,IT,elk
gurgent,12:59:03,2020-06-22 19:34:52.206140,IT,elk
micha,1:36:04,2020-06-22 19:34:52.206140,IT,elk
acha,1:59:40,2020-06-22 19:34:52.206140,IT,elk
ruidong,3:44:32,2020-06-22 19:34:52.206140,IT,elk
kun,7:50:17,2020-06-22 19:34:52.206140,IT,elk
gzding,5:24:34,2020-06-22 19:34:52.206140,IT,elk
junl,13:43:39,2020-06-22 19:34:52.206140,IT,elk
rongx,13:35:39,2020-06-22 19:34:52.206140,IT,elk
takachu,0:08:53,2020-06-22 19:34:52.206140,IT,elk
xunie,2:20:22,2020-06-22 19:34:52.206140,IT,elk
zhu,13:57:18,2020-06-22 19:34:52.206140,IT,elk
bgao,4:13:00,2020-06-22 19:34:52.206140,IT,elk
hou,13:42:43,2020-06-22 19:34:52.206140,IT,elk
ywhou,8:32:02,2020-06-22 19:34:52.206140,IT,elk
skxu,4:30:45,2020-06-22 19:34:52.206140,IT,elk
zeng,2:20:11,2020-06-22 19:34:52.206140,IT,elk
ran,0:56:37,2020-06-22 19:34:52.206140,IT,elk
dphu,0:29:24,2020-06-22 19:34:52.206140,IT,elk
tra,0:14:28,2020-06-22 19:34:52.206140,IT,elk
