User,WorkingHours,@timestamp,BU,type
ric,9:06:41,2020-06-22 19:34:52.206140,LMG,elk
and,12:27:54,2020-06-22 19:34:52.206140,LMG,elk
hulin,22:10:24,2020-06-22 19:34:52.206140,LMG,elk
ran,0:56:37,2020-06-22 19:34:52.206140,LMG,elk
tra,0:14:28,2020-06-22 19:34:52.206140,LMG,elk
ren,9:08:45,2020-06-22 19:34:52.206140,LMG,elk
jave,3:43:13,2020-06-22 19:34:52.206140,LMG,elk
anc,10:09:55,2020-06-22 19:34:52.206140,LMG,elk
shu,15:24:55,2020-06-22 19:34:52.206140,LMG,elk
yso,14:37:25,2020-06-22 19:34:52.206140,LMG,elk
bmaye,5:06:40,2020-06-22 19:34:52.206140,LMG,elk
ila,13:37:56,2020-06-22 19:34:52.206140,LMG,elk
vis,10:57:15,2020-06-22 19:34:52.206140,LMG,elk
jimenez,0:11:00,2020-06-22 19:34:52.206140,LMG,elk
phong,17:01:27,2020-06-22 19:34:52.206140,LMG,elk
avin,1:56:27,2020-06-22 19:34:52.206140,LMG,elk
aro,8:52:31,2020-06-22 19:34:52.206140,LMG,elk
tony,0:30:06,2020-06-22 19:34:52.206140,LMG,elk
man,11:12:00,2020-06-22 19:34:52.206140,LMG,elk
sax,9:29:11,2020-06-22 19:34:52.206140,LMG,elk
arti,5:16:11,2020-06-22 19:34:52.206140,LMG,elk
artin,7:49:53,2020-06-22 19:34:52.206140,LMG,elk
rik,10:01:04,2020-06-22 19:34:52.206140,LMG,elk
hot,8:07:17,2020-06-22 19:34:52.206140,LMG,elk
trong,8:45:03,2020-06-22 19:34:52.206140,LMG,elk
pen,0:50:52,2020-06-22 19:34:52.206140,LMG,elk
tri,13:10:24,2020-06-22 19:34:52.206140,LMG,elk
pho,0:45:52,2020-06-22 19:34:52.206140,LMG,elk
knapp,0:05:18,2020-06-22 19:34:52.206140,LMG,elk
bma,3:20:41,2020-06-22 19:34:52.206140,LMG,elk
