User,WorkingHours,@timestamp,BU,type
jsa,6:07:51,2020-06-22 19:34:52.206140,NV,elk
achim,1:18:27,2020-06-22 19:34:52.206140,NV,elk
zhou,13:47:17,2020-06-22 19:34:52.206140,NV,elk
twan,7:12:10,2020-06-22 19:34:52.206140,NV,elk
ric,9:06:41,2020-06-22 19:34:52.206140,NV,elk
jos,10:10:18,2020-06-22 19:34:52.206140,NV,elk
hami,12:00:49,2020-06-22 19:34:52.206140,NV,elk
valeri,6:06:19,2020-06-22 19:34:52.206140,NV,elk
bela,8:09:14,2020-06-22 19:34:52.206140,NV,elk
and,12:27:54,2020-06-22 19:34:52.206140,NV,elk
acha,1:59:40,2020-06-22 19:34:52.206140,NV,elk
pliang,11:49:17,2020-06-22 19:34:52.206140,NV,elk
jiangw,7:45:57,2020-06-22 19:34:52.206140,NV,elk
liuk,5:24:36,2020-06-22 19:34:52.206140,NV,elk
szhang,3:36:19,2020-06-22 19:34:52.206140,NV,elk
zhu,13:57:18,2020-06-22 19:34:52.206140,NV,elk
hou,13:42:43,2020-06-22 19:34:52.206140,NV,elk
xzha,2:36:21,2020-06-22 19:34:52.206140,NV,elk
ran,0:56:37,2020-06-22 19:34:52.206140,NV,elk
yhu,1:31:31,2020-06-22 19:34:52.206140,NV,elk
fanz,12:36:51,2020-06-22 19:34:52.206140,NV,elk
lyhu,2:29:04,2020-06-22 19:34:52.206140,NV,elk
junz,20:50:34,2020-06-22 19:34:52.206140,NV,elk
ren,9:08:45,2020-06-22 19:34:52.206140,NV,elk
lil,22:47:58,2020-06-22 19:34:52.206140,NV,elk
xia,6:38:08,2020-06-22 19:34:52.206140,NV,elk
jieli,0:50:22,2020-06-22 19:34:52.206140,NV,elk
xing,1:05:32,2020-06-22 19:34:52.206140,NV,elk
anc,10:09:55,2020-06-22 19:34:52.206140,NV,elk
nch,10:38:27,2020-06-22 19:34:52.206140,NV,elk
ean,11:10:05,2020-06-22 19:34:52.206140,NV,elk
manish,22:50:44,2020-06-22 19:34:52.206140,NV,elk
rita,16:50:01,2020-06-22 19:34:52.206140,NV,elk
bala,17:29:29,2020-06-22 19:34:52.206140,NV,elk
riya,13:16:22,2020-06-22 19:34:52.206140,NV,elk
shu,15:24:55,2020-06-22 19:34:52.206140,NV,elk
haran,11:26:47,2020-06-22 19:34:52.206140,NV,elk
rjk,4:38:11,2020-06-22 19:34:52.206140,NV,elk
basi,7:18:50,2020-06-22 19:34:52.206140,NV,elk
smi,2:04:13,2020-06-22 19:34:52.206140,NV,elk
alak,0:53:21,2020-06-22 19:34:52.206140,NV,elk
gao,2:36:13,2020-06-22 19:34:52.206140,NV,elk
ila,13:37:56,2020-06-22 19:34:52.206140,NV,elk
achi,9:09:51,2020-06-22 19:34:52.206140,NV,elk
sur,8:15:41,2020-06-22 19:34:52.206140,NV,elk
urd,18:01:12,2020-06-22 19:34:52.206140,NV,elk
xic,18:22:13,2020-06-22 19:34:52.206140,NV,elk
cai,3:27:24,2020-06-22 19:34:52.206140,NV,elk
aro,8:52:31,2020-06-22 19:34:52.206140,NV,elk
orit,10:29:44,2020-06-22 19:34:52.206140,NV,elk
roche,15:09:40,2020-06-22 19:34:52.206140,NV,elk
man,11:12:00,2020-06-22 19:34:52.206140,NV,elk
gho,4:10:05,2020-06-22 19:34:52.206140,NV,elk
mit,4:11:45,2020-06-22 19:34:52.206140,NV,elk
ashi,10:56:08,2020-06-22 19:34:52.206140,NV,elk
sah,10:45:40,2020-06-22 19:34:52.206140,NV,elk
rra,6:18:45,2020-06-22 19:34:52.206140,NV,elk
ria,0:15:05,2020-06-22 19:34:52.206140,NV,elk
arti,5:16:11,2020-06-22 19:34:52.206140,NV,elk
kan,2:22:05,2020-06-22 19:34:52.206140,NV,elk
pul,6:56:00,2020-06-22 19:34:52.206140,NV,elk
artin,7:49:53,2020-06-22 19:34:52.206140,NV,elk
arn,6:31:47,2020-06-22 19:34:52.206140,NV,elk
rik,10:01:04,2020-06-22 19:34:52.206140,NV,elk
kha,1:47:53,2020-06-22 19:34:52.206140,NV,elk
deepa,7:01:26,2020-06-22 19:34:52.206140,NV,elk
sanj,1:09:39,2020-06-22 19:34:52.206140,NV,elk
patrick,4:31:29,2020-06-22 19:34:52.206140,NV,elk
ychung,2:47:55,2020-06-22 19:34:52.206140,NV,elk
sht,0:54:00,2020-06-22 19:34:52.206140,NV,elk
lem,5:58:44,2020-06-22 19:34:52.206140,NV,elk
chung,0:13:32,2020-06-22 19:34:52.206140,NV,elk
bchi,3:31:31,2020-06-22 19:34:52.206140,NV,elk
rui,1:07:03,2020-06-22 19:34:52.206140,NV,elk
khu,8:00:41,2020-06-22 19:34:52.206140,NV,elk
tri,13:10:24,2020-06-22 19:34:52.206140,NV,elk
sri,0:45:42,2020-06-22 19:34:52.206140,NV,elk
kong,0:01:45,2020-06-22 19:34:52.206140,NV,elk
mei,4:45:25,2020-06-22 19:34:52.206140,NV,elk
knapp,0:05:18,2020-06-22 19:34:52.206140,NV,elk
