User,WorkingHours,@timestamp,BU,type
tigran,13:08:22,2020-06-22 19:34:52.206140,OOP,elk
leo,9:39:30,2020-06-22 19:34:52.206140,OOP,elk
zhou,13:47:17,2020-06-22 19:34:52.206140,OOP,elk
emma,0:25:20,2020-06-22 19:34:52.206140,OOP,elk
ruzan,16:39:35,2020-06-22 19:34:52.206140,OOP,elk
manuky,11:48:24,2020-06-22 19:34:52.206140,OOP,elk
atoyan,0:15:06,2020-06-22 19:34:52.206140,OOP,elk
sona,1:58:20,2020-06-22 19:34:52.206140,OOP,elk
ruzannag,2:05:41,2020-06-22 19:34:52.206140,OOP,elk
khac,13:40:18,2020-06-22 19:34:52.206140,OOP,elk
meruzha,17:46:07,2020-06-22 19:34:52.206140,OOP,elk
hako,7:53:17,2020-06-22 19:34:52.206140,OOP,elk
hakob,22:49:58,2020-06-22 19:34:52.206140,OOP,elk
hovs,3:14:07,2020-06-22 19:34:52.206140,OOP,elk
hov,8:18:04,2020-06-22 19:34:52.206140,OOP,elk
gha,9:25:39,2020-06-22 19:34:52.206140,OOP,elk
bela,8:09:14,2020-06-22 19:34:52.206140,OOP,elk
and,12:27:54,2020-06-22 19:34:52.206140,OOP,elk
jianguoy,11:26:13,2020-06-22 19:34:52.206140,OOP,elk
bydu,0:34:20,2020-06-22 19:34:52.206140,OOP,elk
yanan,9:25:05,2020-06-22 19:34:52.206140,OOP,elk
lirong,7:03:40,2020-06-22 19:34:52.206140,OOP,elk
nfan,2:33:18,2020-06-22 19:34:52.206140,OOP,elk
xifeng,12:19:18,2020-06-22 19:34:52.206140,OOP,elk
weihang,3:48:11,2020-06-22 19:34:52.206140,OOP,elk
zhu,13:57:18,2020-06-22 19:34:52.206140,OOP,elk
hou,13:42:43,2020-06-22 19:34:52.206140,OOP,elk
yuzh,12:43:43,2020-06-22 19:34:52.206140,OOP,elk
ran,0:56:37,2020-06-22 19:34:52.206140,OOP,elk
enchen,4:15:32,2020-06-22 19:34:52.206140,OOP,elk
wangmin,23:42:32,2020-06-22 19:34:52.206140,OOP,elk
zluo,13:09:26,2020-06-22 19:34:52.206140,OOP,elk
jiaxun,2:12:38,2020-06-22 19:34:52.206140,OOP,elk
lil,22:47:58,2020-06-22 19:34:52.206140,OOP,elk
yuzha,10:31:08,2020-06-22 19:34:52.206140,OOP,elk
hujun,22:54:52,2020-06-22 19:34:52.206140,OOP,elk
guangz,0:05:30,2020-06-22 19:34:52.206140,OOP,elk
xia,6:38:08,2020-06-22 19:34:52.206140,OOP,elk
heng,4:17:12,2020-06-22 19:34:52.206140,OOP,elk
yuz,20:45:00,2020-06-22 19:34:52.206140,OOP,elk
nch,10:38:27,2020-06-22 19:34:52.206140,OOP,elk
vik,0:00:55,2020-06-22 19:34:52.206140,OOP,elk
sridharp,0:58:22,2020-06-22 19:34:52.206140,OOP,elk
bala,17:29:29,2020-06-22 19:34:52.206140,OOP,elk
ssaran,14:38:19,2020-06-22 19:34:52.206140,OOP,elk
hzhan,2:19:35,2020-06-22 19:34:52.206140,OOP,elk
xun,1:04:23,2020-06-22 19:34:52.206140,OOP,elk
bosen,20:03:00,2020-06-22 19:34:52.206140,OOP,elk
shu,15:24:55,2020-06-22 19:34:52.206140,OOP,elk
annag,11:17:15,2020-06-22 19:34:52.206140,OOP,elk
smi,2:04:13,2020-06-22 19:34:52.206140,OOP,elk
hzhang,1:57:44,2020-06-22 19:34:52.206140,OOP,elk
lui,0:41:36,2020-06-22 19:34:52.206140,OOP,elk
cai,3:27:24,2020-06-22 19:34:52.206140,OOP,elk
aro,8:52:31,2020-06-22 19:34:52.206140,OOP,elk
georgi,2:49:59,2020-06-22 19:34:52.206140,OOP,elk
man,11:12:00,2020-06-22 19:34:52.206140,OOP,elk
mit,4:11:45,2020-06-22 19:34:52.206140,OOP,elk
ashi,10:56:08,2020-06-22 19:34:52.206140,OOP,elk
mog,3:15:57,2020-06-22 19:34:52.206140,OOP,elk
vpate,13:48:02,2020-06-22 19:34:52.206140,OOP,elk
ria,0:15:05,2020-06-22 19:34:52.206140,OOP,elk
anik,7:48:38,2020-06-22 19:34:52.206140,OOP,elk
naa,10:38:13,2020-06-22 19:34:52.206140,OOP,elk
gol,12:16:58,2020-06-22 19:34:52.206140,OOP,elk
dew,7:13:12,2020-06-22 19:34:52.206140,OOP,elk
saran,7:59:33,2020-06-22 19:34:52.206140,OOP,elk
kul,8:29:57,2020-06-22 19:34:52.206140,OOP,elk
rik,10:01:04,2020-06-22 19:34:52.206140,OOP,elk
kha,1:47:53,2020-06-22 19:34:52.206140,OOP,elk
vaz,12:06:54,2020-06-22 19:34:52.206140,OOP,elk
kula,14:18:18,2020-06-22 19:34:52.206140,OOP,elk
jianguo,6:43:20,2020-06-22 19:34:52.206140,OOP,elk
lem,5:58:44,2020-06-22 19:34:52.206140,OOP,elk
syu,9:38:44,2020-06-22 19:34:52.206140,OOP,elk
pen,0:50:52,2020-06-22 19:34:52.206140,OOP,elk
rui,1:07:03,2020-06-22 19:34:52.206140,OOP,elk
set,5:45:31,2020-06-22 19:34:52.206140,OOP,elk
tri,13:10:24,2020-06-22 19:34:52.206140,OOP,elk
sri,0:45:42,2020-06-22 19:34:52.206140,OOP,elk
kenh,8:26:05,2020-06-22 19:34:52.206140,OOP,elk
mei,4:45:25,2020-06-22 19:34:52.206140,OOP,elk
van,22:50:28,2020-06-22 19:34:52.206140,OOP,elk
taiyun,0:02:01,2020-06-22 19:34:52.206140,OOP,elk
