User,WorkingHours,@timestamp,BU,type
janbjork,18:10:36,2020-06-22 19:34:52.206140,SCMG,elk
richter,9:35:17,2020-06-22 19:34:52.206140,SCMG,elk
hart,3:16:46,2020-06-22 19:34:52.206140,SCMG,elk
peters,0:21:42,2020-06-22 19:34:52.206140,SCMG,elk
ianc,0:22:25,2020-06-22 19:34:52.206140,SCMG,elk
ozinke,2:40:39,2020-06-22 19:34:52.206140,SCMG,elk
gpuliga,13:49:47,2020-06-22 19:34:52.206140,SCMG,elk
edh,0:02:47,2020-06-22 19:34:52.206140,SCMG,elk
leo,9:39:30,2020-06-22 19:34:52.206140,SCMG,elk
zhou,13:47:17,2020-06-22 19:34:52.206140,SCMG,elk
kuma,11:57:10,2020-06-22 19:34:52.206140,SCMG,elk
gorm,8:39:25,2020-06-22 19:34:52.206140,SCMG,elk
cem,5:33:32,2020-06-22 19:34:52.206140,SCMG,elk
rego,8:25:26,2020-06-22 19:34:52.206140,SCMG,elk
niels,5:59:15,2020-06-22 19:34:52.206140,SCMG,elk
emma,0:25:20,2020-06-22 19:34:52.206140,SCMG,elk
hila,2:29:42,2020-06-22 19:34:52.206140,SCMG,elk
amaglio,9:03:34,2020-06-22 19:34:52.206140,SCMG,elk
hemmer,0:19:25,2020-06-22 19:34:52.206140,SCMG,elk
anke,8:23:38,2020-06-22 19:34:52.206140,SCMG,elk
rath,2:35:09,2020-06-22 19:34:52.206140,SCMG,elk
vila,9:57:41,2020-06-22 19:34:52.206140,SCMG,elk
lorena,5:40:23,2020-06-22 19:34:52.206140,SCMG,elk
ric,9:06:41,2020-06-22 19:34:52.206140,SCMG,elk
olafm,7:46:48,2020-06-22 19:34:52.206140,SCMG,elk
mbrandm,5:23:20,2020-06-22 19:34:52.206140,SCMG,elk
angelas,9:41:06,2020-06-22 19:34:52.206140,SCMG,elk
chaurand,1:16:19,2020-06-22 19:34:52.206140,SCMG,elk
gerhardk,9:23:39,2020-06-22 19:34:52.206140,SCMG,elk
gregorw,11:58:24,2020-06-22 19:34:52.206140,SCMG,elk
jos,10:10:18,2020-06-22 19:34:52.206140,SCMG,elk
huguesl,11:27:20,2020-06-22 19:34:52.206140,SCMG,elk
fischer,12:07:44,2020-06-22 19:34:52.206140,SCMG,elk
aras,2:50:56,2020-06-22 19:34:52.206140,SCMG,elk
bela,8:09:14,2020-06-22 19:34:52.206140,SCMG,elk
gha,9:25:39,2020-06-22 19:34:52.206140,SCMG,elk
anip,9:49:28,2020-06-22 19:34:52.206140,SCMG,elk
lilitkh,1:53:54,2020-06-22 19:34:52.206140,SCMG,elk
and,12:27:54,2020-06-22 19:34:52.206140,SCMG,elk
micha,1:36:04,2020-06-22 19:34:52.206140,SCMG,elk
acha,1:59:40,2020-06-22 19:34:52.206140,SCMG,elk
kqzeng,8:52:13,2020-06-22 19:34:52.206140,SCMG,elk
ruilin,13:44:57,2020-06-22 19:34:52.206140,SCMG,elk
pzhang,6:19:31,2020-06-22 19:34:52.206140,SCMG,elk
pengt,4:14:58,2020-06-22 19:34:52.206140,SCMG,elk
kaiz,11:24:27,2020-06-22 19:34:52.206140,SCMG,elk
kun,7:50:17,2020-06-22 19:34:52.206140,SCMG,elk
sfzhou,2:21:19,2020-06-22 19:34:52.206140,SCMG,elk
zhoujj,9:57:56,2020-06-22 19:34:52.206140,SCMG,elk
shaofeh,1:16:10,2020-06-22 19:34:52.206140,SCMG,elk
xwan,0:20:38,2020-06-22 19:34:52.206140,SCMG,elk
dhuston,2:58:46,2020-06-22 19:34:52.206140,SCMG,elk
cshi,10:44:33,2020-06-22 19:34:52.206140,SCMG,elk
cli,21:44:14,2020-06-22 19:34:52.206140,SCMG,elk
xue,6:50:21,2020-06-22 19:34:52.206140,SCMG,elk
yongqing,2:50:01,2020-06-22 19:34:52.206140,SCMG,elk
xiaoguan,2:31:00,2020-06-22 19:34:52.206140,SCMG,elk
gaoxiang,22:27:26,2020-06-22 19:34:52.206140,SCMG,elk
yichun,4:40:47,2020-06-22 19:34:52.206140,SCMG,elk
zhu,13:57:18,2020-06-22 19:34:52.206140,SCMG,elk
hou,13:42:43,2020-06-22 19:34:52.206140,SCMG,elk
haizhang,18:51:52,2020-06-22 19:34:52.206140,SCMG,elk
zeng,2:20:11,2020-06-22 19:34:52.206140,SCMG,elk
xzha,2:36:21,2020-06-22 19:34:52.206140,SCMG,elk
ran,0:56:37,2020-06-22 19:34:52.206140,SCMG,elk
jiweiq,1:14:51,2020-06-22 19:34:52.206140,SCMG,elk
