User,WorkingHours,@timestamp,BU,type
ivo,0:00:01,2020-06-22 19:34:52.206140,SEG,elk
anar,10:09:27,2020-06-22 19:34:52.206140,SEG,elk
corradi,10:42:26,2020-06-22 19:34:52.206140,SEG,elk
niek,0:27:31,2020-06-22 19:34:52.206140,SEG,elk
annettep,10:55:47,2020-06-22 19:34:52.206140,SEG,elk
fotism,0:03:51,2020-06-22 19:34:52.206140,SEG,elk
dannyg,21:28:19,2020-06-22 19:34:52.206140,SEG,elk
poghos,4:55:09,2020-06-22 19:34:52.206140,SEG,elk
romanova,7:33:13,2020-06-22 19:34:52.206140,SEG,elk
veer,3:48:49,2020-06-22 19:34:52.206140,SEG,elk
ulrik,7:43:51,2020-06-22 19:34:52.206140,SEG,elk
silvest,0:00:01,2020-06-22 19:34:52.206140,SEG,elk
henningm,0:09:48,2020-06-22 19:34:52.206140,SEG,elk
pavelt,1:22:20,2020-06-22 19:34:52.206140,SEG,elk
vlubens,10:30:54,2020-06-22 19:34:52.206140,SEG,elk
jessw,0:52:25,2020-06-22 19:34:52.206140,SEG,elk
rgull,2:46:50,2020-06-22 19:34:52.206140,SEG,elk
tigran,13:08:22,2020-06-22 19:34:52.206140,SEG,elk
ywadekar,5:35:01,2020-06-22 19:34:52.206140,SEG,elk
aghazar,12:27:58,2020-06-22 19:34:52.206140,SEG,elk
yuliyat,18:07:40,2020-06-22 19:34:52.206140,SEG,elk
aurar,8:02:28,2020-06-22 19:34:52.206140,SEG,elk
boerland,0:42:40,2020-06-22 19:34:52.206140,SEG,elk
jtuma,6:13:29,2020-06-22 19:34:52.206140,SEG,elk
melle,9:45:46,2020-06-22 19:34:52.206140,SEG,elk
feindt,2:03:25,2020-06-22 19:34:52.206140,SEG,elk
peters,0:21:42,2020-06-22 19:34:52.206140,SEG,elk
vaida,20:28:18,2020-06-22 19:34:52.206140,SEG,elk
bachmann,1:15:03,2020-06-22 19:34:52.206140,SEG,elk
jiuzhou,5:57:12,2020-06-22 19:34:52.206140,SEG,elk
denisp,7:26:12,2020-06-22 19:34:52.206140,SEG,elk
edh,0:02:47,2020-06-22 19:34:52.206140,SEG,elk
leo,9:39:30,2020-06-22 19:34:52.206140,SEG,elk
zhou,13:47:17,2020-06-22 19:34:52.206140,SEG,elk
pmoberts,0:06:51,2020-06-22 19:34:52.206140,SEG,elk
kuma,11:57:10,2020-06-22 19:34:52.206140,SEG,elk
gorm,8:39:25,2020-06-22 19:34:52.206140,SEG,elk
hoppe,16:08:58,2020-06-22 19:34:52.206140,SEG,elk
mikhayil,3:02:06,2020-06-22 19:34:52.206140,SEG,elk
cmiguel,4:30:18,2020-06-22 19:34:52.206140,SEG,elk
georgv,2:07:58,2020-06-22 19:34:52.206140,SEG,elk
liana,6:37:23,2020-06-22 19:34:52.206140,SEG,elk
soren,7:58:03,2020-06-22 19:34:52.206140,SEG,elk
denispon,8:05:40,2020-06-22 19:34:52.206140,SEG,elk
niels,5:59:15,2020-06-22 19:34:52.206140,SEG,elk
georgs,6:57:47,2020-06-22 19:34:52.206140,SEG,elk
letscher,8:11:53,2020-06-22 19:34:52.206140,SEG,elk
steffenr,0:50:55,2020-06-22 19:34:52.206140,SEG,elk
mchursin,7:28:20,2020-06-22 19:34:52.206140,SEG,elk
polimeni,10:47:58,2020-06-22 19:34:52.206140,SEG,elk
astanch,10:24:03,2020-06-22 19:34:52.206140,SEG,elk
domnenko,9:33:17,2020-06-22 19:34:52.206140,SEG,elk
ivanova,1:16:23,2020-06-22 19:34:52.206140,SEG,elk
kalinkin,12:31:13,2020-06-22 19:34:52.206140,SEG,elk
maengl,5:01:39,2020-06-22 19:34:52.206140,SEG,elk
enzinger,8:16:15,2020-06-22 19:34:52.206140,SEG,elk
vaibhavd,8:52:55,2020-06-22 19:34:52.206140,SEG,elk
jensdani,9:14:04,2020-06-22 19:34:52.206140,SEG,elk
troels,9:37:20,2020-06-22 19:34:52.206140,SEG,elk
zechner,9:02:04,2020-06-22 19:34:52.206140,SEG,elk
ysaad,8:28:09,2020-06-22 19:34:52.206140,SEG,elk
areg,10:35:32,2020-06-22 19:34:52.206140,SEG,elk
lenhardt,10:36:21,2020-06-22 19:34:52.206140,SEG,elk
twan,7:12:10,2020-06-22 19:34:52.206140,SEG,elk
petrk,11:06:50,2020-06-22 19:34:52.206140,SEG,elk
balintm,6:56:03,2020-06-22 19:34:52.206140,SEG,elk
nikola,3:36:01,2020-06-22 19:34:52.206140,SEG,elk
karlina,9:01:04,2020-06-22 19:34:52.206140,SEG,elk
islamova,7:30:29,2020-06-22 19:34:52.206140,SEG,elk
abarlit,9:35:17,2020-06-22 19:34:52.206140,SEG,elk
kant,11:06:50,2020-06-22 19:34:52.206140,SEG,elk
siebert,10:27:25,2020-06-22 19:34:52.206140,SEG,elk
detlef,11:06:10,2020-06-22 19:34:52.206140,SEG,elk
gzandler,13:01:04,2020-06-22 19:34:52.206140,SEG,elk
berndk,11:32:35,2020-06-22 19:34:52.206140,SEG,elk
sukhov,9:06:34,2020-06-22 19:34:52.206140,SEG,elk
corsetti,3:34:47,2020-06-22 19:34:52.206140,SEG,elk
pieterv,8:30:45,2020-06-22 19:34:52.206140,SEG,elk
kimp,6:03:00,2020-06-22 19:34:52.206140,SEG,elk
hansenk,11:00:10,2020-06-22 19:34:52.206140,SEG,elk
thomask,10:05:14,2020-06-22 19:34:52.206140,SEG,elk
brecht,9:59:42,2020-06-22 19:34:52.206140,SEG,elk
julians,7:35:45,2020-06-22 19:34:52.206140,SEG,elk
ojanpera,6:41:23,2020-06-22 19:34:52.206140,SEG,elk
klyonova,0:01:27,2020-06-22 19:34:52.206140,SEG,elk
fheinz,7:57:03,2020-06-22 19:34:52.206140,SEG,elk
tvomfei,3:17:49,2020-06-22 19:34:52.206140,SEG,elk
anke,8:23:38,2020-06-22 19:34:52.206140,SEG,elk
aterteri,5:18:13,2020-06-22 19:34:52.206140,SEG,elk
rath,2:35:09,2020-06-22 19:34:52.206140,SEG,elk
cvaccani,8:58:52,2020-06-22 19:34:52.206140,SEG,elk
letay,7:04:24,2020-06-22 19:34:52.206140,SEG,elk
ulrichw,8:09:13,2020-06-22 19:34:52.206140,SEG,elk
enash,6:05:05,2020-06-22 19:34:52.206140,SEG,elk
albracht,8:28:19,2020-06-22 19:34:52.206140,SEG,elk
nara,6:01:15,2020-06-22 19:34:52.206140,SEG,elk
jaeger,11:25:27,2020-06-22 19:34:52.206140,SEG,elk
vila,9:57:41,2020-06-22 19:34:52.206140,SEG,elk
carstenw,8:11:42,2020-06-22 19:34:52.206140,SEG,elk
ferling,6:53:32,2020-06-22 19:34:52.206140,SEG,elk
wettstae,9:49:41,2020-06-22 19:34:52.206140,SEG,elk
erikv,1:37:21,2020-06-22 19:34:52.206140,SEG,elk
omeijer,9:22:56,2020-06-22 19:34:52.206140,SEG,elk
ukloster,0:14:21,2020-06-22 19:34:52.206140,SEG,elk
ric,9:06:41,2020-06-22 19:34:52.206140,SEG,elk
schulz,7:37:35,2020-06-22 19:34:52.206140,SEG,elk
ulrichl,8:26:20,2020-06-22 19:34:52.206140,SEG,elk
jos,10:10:18,2020-06-22 19:34:52.206140,SEG,elk
sommer,0:42:27,2020-06-22 19:34:52.206140,SEG,elk
jensenk,2:29:56,2020-06-22 19:34:52.206140,SEG,elk
aurich,2:01:33,2020-06-22 19:34:52.206140,SEG,elk
filipr,0:27:46,2020-06-22 19:34:52.206140,SEG,elk
mikayel,8:07:32,2020-06-22 19:34:52.206140,SEG,elk
annaku,2:42:59,2020-06-22 19:34:52.206140,SEG,elk
sokhakya,5:48:54,2020-06-22 19:34:52.206140,SEG,elk
tonoyana,13:25:02,2020-06-22 19:34:52.206140,SEG,elk
arsent,1:04:21,2020-06-22 19:34:52.206140,SEG,elk
galst,12:03:42,2020-06-22 19:34:52.206140,SEG,elk
arminekh,3:50:21,2020-06-22 19:34:52.206140,SEG,elk
sargisa,11:31:26,2020-06-22 19:34:52.206140,SEG,elk
aazatyan,2:48:39,2020-06-22 19:34:52.206140,SEG,elk
manush,8:31:30,2020-06-22 19:34:52.206140,SEG,elk
grigori,9:12:37,2020-06-22 19:34:52.206140,SEG,elk
ruzan,16:39:35,2020-06-22 19:34:52.206140,SEG,elk
pavela,9:25:57,2020-06-22 19:34:52.206140,SEG,elk
avetyan,5:02:56,2020-06-22 19:34:52.206140,SEG,elk
samvels,7:24:27,2020-06-22 19:34:52.206140,SEG,elk
davetya,21:48:15,2020-06-22 19:34:52.206140,SEG,elk
hasmiko,19:01:18,2020-06-22 19:34:52.206140,SEG,elk
emilk,23:47:11,2020-06-22 19:34:52.206140,SEG,elk
lilitm,9:38:03,2020-06-22 19:34:52.206140,SEG,elk
hrantk,1:34:21,2020-06-22 19:34:52.206140,SEG,elk
lusine,9:29:47,2020-06-22 19:34:52.206140,SEG,elk
sona,1:58:20,2020-06-22 19:34:52.206140,SEG,elk
abrahamy,1:38:52,2020-06-22 19:34:52.206140,SEG,elk
gagik,9:26:24,2020-06-22 19:34:52.206140,SEG,elk
arturg,2:03:32,2020-06-22 19:34:52.206140,SEG,elk
anisar,1:49:45,2020-06-22 19:34:52.206140,SEG,elk
damirkh,0:16:24,2020-06-22 19:34:52.206140,SEG,elk
garry,5:34:19,2020-06-22 19:34:52.206140,SEG,elk
vardana,3:35:49,2020-06-22 19:34:52.206140,SEG,elk
khac,13:40:18,2020-06-22 19:34:52.206140,SEG,elk
annaosil,14:57:39,2020-06-22 19:34:52.206140,SEG,elk
davitkh,11:42:03,2020-06-22 19:34:52.206140,SEG,elk
vahagnp,7:48:43,2020-06-22 19:34:52.206140,SEG,elk
khacha,12:53:03,2020-06-22 19:34:52.206140,SEG,elk
dallakya,14:34:24,2020-06-22 19:34:52.206140,SEG,elk
armurad,10:56:37,2020-06-22 19:34:52.206140,SEG,elk
davidsh,4:43:10,2020-06-22 19:34:52.206140,SEG,elk
tigranch,22:50:14,2020-06-22 19:34:52.206140,SEG,elk
smbat,12:38:42,2020-06-22 19:34:52.206140,SEG,elk
gumroyan,9:19:05,2020-06-22 19:34:52.206140,SEG,elk
abaghda,0:06:17,2020-06-22 19:34:52.206140,SEG,elk
hako,7:53:17,2020-06-22 19:34:52.206140,SEG,elk
martiros,20:18:53,2020-06-22 19:34:52.206140,SEG,elk
hakob,22:49:58,2020-06-22 19:34:52.206140,SEG,elk
yurid,9:52:34,2020-06-22 19:34:52.206140,SEG,elk
rubens,8:11:09,2020-06-22 19:34:52.206140,SEG,elk
saro,13:33:52,2020-06-22 19:34:52.206140,SEG,elk
mkaren,22:50:22,2020-06-22 19:34:52.206140,SEG,elk
mamikon,22:50:50,2020-06-22 19:34:52.206140,SEG,elk
borisa,10:00:55,2020-06-22 19:34:52.206140,SEG,elk
karenmal,13:09:06,2020-06-22 19:34:52.206140,SEG,elk
anush,6:09:36,2020-06-22 19:34:52.206140,SEG,elk
arturb,3:17:59,2020-06-22 19:34:52.206140,SEG,elk
hov,8:18:04,2020-06-22 19:34:52.206140,SEG,elk
gyulgyul,16:36:22,2020-06-22 19:34:52.206140,SEG,elk
aniga,8:47:37,2020-06-22 19:34:52.206140,SEG,elk
davetyan,12:40:10,2020-06-22 19:34:52.206140,SEG,elk
liliam,10:12:22,2020-06-22 19:34:52.206140,SEG,elk
tateviky,21:58:05,2020-06-22 19:34:52.206140,SEG,elk
elens,10:58:29,2020-06-22 19:34:52.206140,SEG,elk
roman,1:23:23,2020-06-22 19:34:52.206140,SEG,elk
gruben,19:04:21,2020-06-22 19:34:52.206140,SEG,elk
aharuty,11:24:50,2020-06-22 19:34:52.206140,SEG,elk
hovs,3:14:07,2020-06-22 19:34:52.206140,SEG,elk
tigranvk,10:20:40,2020-06-22 19:34:52.206140,SEG,elk
mariamg,8:02:40,2020-06-22 19:34:52.206140,SEG,elk
osanna,8:40:37,2020-06-22 19:34:52.206140,SEG,elk
armanm,9:21:31,2020-06-22 19:34:52.206140,SEG,elk
sashayek,8:59:27,2020-06-22 19:34:52.206140,SEG,elk
karenpet,9:01:40,2020-06-22 19:34:52.206140,SEG,elk
robik,5:37:54,2020-06-22 19:34:52.206140,SEG,elk
gha,9:25:39,2020-06-22 19:34:52.206140,SEG,elk
gagikt,8:54:03,2020-06-22 19:34:52.206140,SEG,elk
lilias,5:37:40,2020-06-22 19:34:52.206140,SEG,elk
artura,9:33:18,2020-06-22 19:34:52.206140,SEG,elk
stepans,10:24:17,2020-06-22 19:34:52.206140,SEG,elk
meroyan,11:05:46,2020-06-22 19:34:52.206140,SEG,elk
arman,8:45:15,2020-06-22 19:34:52.206140,SEG,elk
ahako,1:53:18,2020-06-22 19:34:52.206140,SEG,elk
violeta,11:29:14,2020-06-22 19:34:52.206140,SEG,elk
grigorme,9:00:45,2020-06-22 19:34:52.206140,SEG,elk
tamaram,11:51:06,2020-06-22 19:34:52.206140,SEG,elk
karo,12:46:11,2020-06-22 19:34:52.206140,SEG,elk
armanh,5:53:09,2020-06-22 19:34:52.206140,SEG,elk
and,12:27:54,2020-06-22 19:34:52.206140,SEG,elk
laert,13:28:55,2020-06-22 19:34:52.206140,SEG,elk
artakt,7:02:07,2020-06-22 19:34:52.206140,SEG,elk
amarti,13:52:27,2020-06-22 19:34:52.206140,SEG,elk
sivolenk,12:43:56,2020-06-22 19:34:52.206140,SEG,elk
rodr,14:04:23,2020-06-22 19:34:52.206140,SEG,elk
heredia,4:34:26,2020-06-22 19:34:52.206140,SEG,elk
jolate,18:19:20,2020-06-22 19:34:52.206140,SEG,elk
acha,1:59:40,2020-06-22 19:34:52.206140,SEG,elk
rvasquez,7:01:05,2020-06-22 19:34:52.206140,SEG,elk
gerardol,2:24:39,2020-06-22 19:34:52.206140,SEG,elk
carlosa,4:35:33,2020-06-22 19:34:52.206140,SEG,elk
contrera,1:35:56,2020-06-22 19:34:52.206140,SEG,elk
jyxu,3:55:50,2020-06-22 19:34:52.206140,SEG,elk
yanc,9:23:31,2020-06-22 19:34:52.206140,SEG,elk
kun,7:50:17,2020-06-22 19:34:52.206140,SEG,elk
pliang,11:49:17,2020-06-22 19:34:52.206140,SEG,elk
haobindu,12:30:12,2020-06-22 19:34:52.206140,SEG,elk
qqu,13:52:47,2020-06-22 19:34:52.206140,SEG,elk
longc,15:13:44,2020-06-22 19:34:52.206140,SEG,elk
yis,9:55:14,2020-06-22 19:34:52.206140,SEG,elk
jiaqix,13:46:56,2020-06-22 19:34:52.206140,SEG,elk
iontchev,17:27:17,2020-06-22 19:34:52.206140,SEG,elk
cli,21:44:14,2020-06-22 19:34:52.206140,SEG,elk
yanchen,5:40:09,2020-06-22 19:34:52.206140,SEG,elk
junl,13:43:39,2020-06-22 19:34:52.206140,SEG,elk
xue,6:50:21,2020-06-22 19:34:52.206140,SEG,elk
yifan,9:13:30,2020-06-22 19:34:52.206140,SEG,elk
huanmil,2:24:55,2020-06-22 19:34:52.206140,SEG,elk
haoche,3:36:40,2020-06-22 19:34:52.206140,SEG,elk
jiech,16:02:56,2020-06-22 19:34:52.206140,SEG,elk
ytan,14:28:23,2020-06-22 19:34:52.206140,SEG,elk
xiaohail,20:59:04,2020-06-22 19:34:52.206140,SEG,elk
gangwu,2:01:55,2020-06-22 19:34:52.206140,SEG,elk
zhu,13:57:18,2020-06-22 19:34:52.206140,SEG,elk
xxing,9:56:02,2020-06-22 19:34:52.206140,SEG,elk
liangzh,9:57:36,2020-06-22 19:34:52.206140,SEG,elk
hou,13:42:43,2020-06-22 19:34:52.206140,SEG,elk
yuanh,10:24:17,2020-06-22 19:34:52.206140,SEG,elk
liangw,1:56:30,2020-06-22 19:34:52.206140,SEG,elk
leekj,11:59:28,2020-06-22 19:34:52.206140,SEG,elk
juns,0:07:40,2020-06-22 19:34:52.206140,SEG,elk
gye,11:33:28,2020-06-22 19:34:52.206140,SEG,elk
jili,22:04:15,2020-06-22 19:34:52.206140,SEG,elk
zeng,2:20:11,2020-06-22 19:34:52.206140,SEG,elk
ran,0:56:37,2020-06-22 19:34:52.206140,SEG,elk
xhchen,1:41:44,2020-06-22 19:34:52.206140,SEG,elk
tra,0:14:28,2020-06-22 19:34:52.206140,SEG,elk
ylcai,2:18:02,2020-06-22 19:34:52.206140,SEG,elk
yhu,1:31:31,2020-06-22 19:34:52.206140,SEG,elk
ander,0:33:41,2020-06-22 19:34:52.206140,SEG,elk
junp,9:44:25,2020-06-22 19:34:52.206140,SEG,elk
aoli,1:39:13,2020-06-22 19:34:52.206140,SEG,elk
ren,9:08:45,2020-06-22 19:34:52.206140,SEG,elk
shiy,0:50:28,2020-06-22 19:34:52.206140,SEG,elk
pans,16:01:49,2020-06-22 19:34:52.206140,SEG,elk
yinl,5:53:03,2020-06-22 19:34:52.206140,SEG,elk
kuiz,21:30:55,2020-06-22 19:34:52.206140,SEG,elk
lil,22:47:58,2020-06-22 19:34:52.206140,SEG,elk
jiao,11:03:45,2020-06-22 19:34:52.206140,SEG,elk
namki,5:42:39,2020-06-22 19:34:52.206140,SEG,elk
xia,6:38:08,2020-06-22 19:34:52.206140,SEG,elk
xing,1:05:32,2020-06-22 19:34:52.206140,SEG,elk
hye,4:43:56,2020-06-22 19:34:52.206140,SEG,elk
rdan,4:37:20,2020-06-22 19:34:52.206140,SEG,elk
hed,3:33:56,2020-06-22 19:34:52.206140,SEG,elk
heli,10:44:56,2020-06-22 19:34:52.206140,SEG,elk
can,3:57:04,2020-06-22 19:34:52.206140,SEG,elk
lex,15:48:46,2020-06-22 19:34:52.206140,SEG,elk
sfdu,12:49:16,2020-06-22 19:34:52.206140,SEG,elk
wjxu,5:00:46,2020-06-22 19:34:52.206140,SEG,elk
yingc,1:41:12,2020-06-22 19:34:52.206140,SEG,elk
heng,4:17:12,2020-06-22 19:34:52.206140,SEG,elk
bozza,0:10:43,2020-06-22 19:34:52.206140,SEG,elk
zograph,1:59:48,2020-06-22 19:34:52.206140,SEG,elk
cely,6:39:37,2020-06-22 19:34:52.206140,SEG,elk
vasile,9:56:59,2020-06-22 19:34:52.206140,SEG,elk
jingz,9:49:49,2020-06-22 19:34:52.206140,SEG,elk
anc,10:09:55,2020-06-22 19:34:52.206140,SEG,elk
nch,10:38:27,2020-06-22 19:34:52.206140,SEG,elk
yel,10:46:30,2020-06-22 19:34:52.206140,SEG,elk
farley,10:14:56,2020-06-22 19:34:52.206140,SEG,elk
tuegunst,10:05:49,2020-06-22 19:34:52.206140,SEG,elk
gcybe,7:13:13,2020-06-22 19:34:52.206140,SEG,elk
agashe,4:50:33,2020-06-22 19:34:52.206140,SEG,elk
vbuixuan,1:17:41,2020-06-22 19:34:52.206140,SEG,elk
ahmedhe,4:05:33,2020-06-22 19:34:52.206140,SEG,elk
jaehyun,10:54:28,2020-06-22 19:34:52.206140,SEG,elk
