User,WorkingHours,@timestamp,BU,type
ivo,0:00:01,2020-06-22 19:34:52.206140,SG,elk
fonseca,11:02:48,2020-06-22 19:34:52.206140,SG,elk
maia,0:31:57,2020-06-22 19:34:52.206140,SG,elk
csilva,2:31:50,2020-06-22 19:34:52.206140,SG,elk
dimo,8:27:14,2020-06-22 19:34:52.206140,SG,elk
rvalle,7:51:42,2020-06-22 19:34:52.206140,SG,elk
nusousa,7:59:48,2020-06-22 19:34:52.206140,SG,elk
ssilva,11:42:31,2020-06-22 19:34:52.206140,SG,elk
dpereira,9:36:28,2020-06-22 19:34:52.206140,SG,elk
junio,3:19:02,2020-06-22 19:34:52.206140,SG,elk
martas,7:49:57,2020-06-22 19:34:52.206140,SG,elk
sergiod,0:01:44,2020-06-22 19:34:52.206140,SG,elk
ltomas,8:26:30,2020-06-22 19:34:52.206140,SG,elk
mguedes,8:29:33,2020-06-22 19:34:52.206140,SG,elk
ritao,0:49:34,2020-06-22 19:34:52.206140,SG,elk
lrsimoes,20:52:58,2020-06-22 19:34:52.206140,SG,elk
cfachada,6:58:33,2020-06-22 19:34:52.206140,SG,elk
magalhae,2:00:28,2020-06-22 19:34:52.206140,SG,elk
tneto,11:59:18,2020-06-22 19:34:52.206140,SG,elk
goncalor,0:03:22,2020-06-22 19:34:52.206140,SG,elk
jmflucas,2:10:45,2020-06-22 19:34:52.206140,SG,elk
dcaetano,1:57:29,2020-06-22 19:34:52.206140,SG,elk
hpereira,1:18:54,2020-06-22 19:34:52.206140,SG,elk
llaranj,5:09:12,2020-06-22 19:34:52.206140,SG,elk
amelo,2:42:59,2020-06-22 19:34:52.206140,SG,elk
lmalheir,1:21:40,2020-06-22 19:34:52.206140,SG,elk
bmoreir,0:01:04,2020-06-22 19:34:52.206140,SG,elk
jpereira,6:12:11,2020-06-22 19:34:52.206140,SG,elk
pmachado,8:27:41,2020-06-22 19:34:52.206140,SG,elk
jsa,6:07:51,2020-06-22 19:34:52.206140,SG,elk
ljalves,6:17:19,2020-06-22 19:34:52.206140,SG,elk
aleao,6:04:17,2020-06-22 19:34:52.206140,SG,elk
ftravanc,5:15:16,2020-06-22 19:34:52.206140,SG,elk
pratas,8:26:40,2020-06-22 19:34:52.206140,SG,elk
angelor,8:55:42,2020-06-22 19:34:52.206140,SG,elk
barros,6:06:06,2020-06-22 19:34:52.206140,SG,elk
jazevedo,4:38:45,2020-06-22 19:34:52.206140,SG,elk
scosta,0:31:58,2020-06-22 19:34:52.206140,SG,elk
vasilyz,8:00:41,2020-06-22 19:34:52.206140,SG,elk
dguilher,8:30:53,2020-06-22 19:34:52.206140,SG,elk
marioc,0:45:31,2020-06-22 19:34:52.206140,SG,elk
nelsonc,8:59:44,2020-06-22 19:34:52.206140,SG,elk
mjoliv,0:45:03,2020-06-22 19:34:52.206140,SG,elk
valverde,0:09:46,2020-06-22 19:34:52.206140,SG,elk
almeida,8:16:14,2020-06-22 19:34:52.206140,SG,elk
hugoma,7:47:00,2020-06-22 19:34:52.206140,SG,elk
tprata,6:53:56,2020-06-22 19:34:52.206140,SG,elk
santosb,10:02:10,2020-06-22 19:34:52.206140,SG,elk
beleza,8:51:53,2020-06-22 19:34:52.206140,SG,elk
pintor,10:42:38,2020-06-22 19:34:52.206140,SG,elk
rjeronim,9:36:28,2020-06-22 19:34:52.206140,SG,elk
danielap,9:45:57,2020-06-22 19:34:52.206140,SG,elk
goncalr,10:48:02,2020-06-22 19:34:52.206140,SG,elk
anar,10:09:27,2020-06-22 19:34:52.206140,SG,elk
asalazar,9:14:39,2020-06-22 19:34:52.206140,SG,elk
bneto,7:38:33,2020-06-22 19:34:52.206140,SG,elk
