User,WorkingHours,@timestamp,BU,type
ivo,0:00:01,2020-06-22 19:34:52.206140,SIG,elk
jsa,6:07:51,2020-06-22 19:34:52.206140,SIG,elk
anar,10:09:27,2020-06-22 19:34:52.206140,SIG,elk
syri,7:26:13,2020-06-22 19:34:52.206140,SIG,elk
bochare,8:42:16,2020-06-22 19:34:52.206140,SIG,elk
nitkumar,5:46:02,2020-06-22 19:34:52.206140,SIG,elk
scshetty,1:34:48,2020-06-22 19:34:52.206140,SIG,elk
merakana,0:16:06,2020-06-22 19:34:52.206140,SIG,elk
shahb,21:29:25,2020-06-22 19:34:52.206140,SIG,elk
saloniv,5:41:30,2020-06-22 19:34:52.206140,SIG,elk
hutchiso,5:17:05,2020-06-22 19:34:52.206140,SIG,elk
alastair,18:46:09,2020-06-22 19:34:52.206140,SIG,elk
pablon,11:12:23,2020-06-22 19:34:52.206140,SIG,elk
mikam,6:50:48,2020-06-22 19:34:52.206140,SIG,elk
veer,3:48:49,2020-06-22 19:34:52.206140,SIG,elk
albertf,5:27:43,2020-06-22 19:34:52.206140,SIG,elk
pajunen,7:58:16,2020-06-22 19:34:52.206140,SIG,elk
madhuri,19:44:36,2020-06-22 19:34:52.206140,SIG,elk
andrewth,9:19:00,2020-06-22 19:34:52.206140,SIG,elk
khanduri,0:27:12,2020-06-22 19:34:52.206140,SIG,elk
mbuz,9:03:28,2020-06-22 19:34:52.206140,SIG,elk
trontti,7:24:50,2020-06-22 19:34:52.206140,SIG,elk
pauric,7:43:58,2020-06-22 19:34:52.206140,SIG,elk
shunter,8:12:57,2020-06-22 19:34:52.206140,SIG,elk
khenri,2:08:39,2020-06-22 19:34:52.206140,SIG,elk
thim,8:39:52,2020-06-22 19:34:52.206140,SIG,elk
hart,3:16:46,2020-06-22 19:34:52.206140,SIG,elk
peters,0:21:42,2020-06-22 19:34:52.206140,SIG,elk
garyarm,16:17:31,2020-06-22 19:34:52.206140,SIG,elk
edh,0:02:47,2020-06-22 19:34:52.206140,SIG,elk
peedo,7:25:19,2020-06-22 19:34:52.206140,SIG,elk
leo,9:39:30,2020-06-22 19:34:52.206140,SIG,elk
jtayl,10:02:43,2020-06-22 19:34:52.206140,SIG,elk
guhr,5:50:52,2020-06-22 19:34:52.206140,SIG,elk
kajaste,0:02:51,2020-06-22 19:34:52.206140,SIG,elk
kuma,11:57:10,2020-06-22 19:34:52.206140,SIG,elk
akashd,16:13:20,2020-06-22 19:34:52.206140,SIG,elk
shashika,8:44:34,2020-06-22 19:34:52.206140,SIG,elk
gorm,8:39:25,2020-06-22 19:34:52.206140,SIG,elk
cem,5:33:32,2020-06-22 19:34:52.206140,SIG,elk
jliikala,3:51:09,2020-06-22 19:34:52.206140,SIG,elk
jamieh,6:54:00,2020-06-22 19:34:52.206140,SIG,elk
sadaf,4:19:50,2020-06-22 19:34:52.206140,SIG,elk
rego,8:25:26,2020-06-22 19:34:52.206140,SIG,elk
liana,6:37:23,2020-06-22 19:34:52.206140,SIG,elk
sellison,6:43:28,2020-06-22 19:34:52.206140,SIG,elk
emma,0:25:20,2020-06-22 19:34:52.206140,SIG,elk
cliodhna,8:02:28,2020-06-22 19:34:52.206140,SIG,elk
rooney,6:51:29,2020-06-22 19:34:52.206140,SIG,elk
iguleac,8:28:40,2020-06-22 19:34:52.206140,SIG,elk
olga,8:11:14,2020-06-22 19:34:52.206140,SIG,elk
oleh,1:18:29,2020-06-22 19:34:52.206140,SIG,elk
jcooney,1:54:32,2020-06-22 19:34:52.206140,SIG,elk
zhil,8:45:20,2020-06-22 19:34:52.206140,SIG,elk
fabienb,3:11:30,2020-06-22 19:34:52.206140,SIG,elk
nikola,3:36:01,2020-06-22 19:34:52.206140,SIG,elk
miro,8:05:37,2020-06-22 19:34:52.206140,SIG,elk
jsunil,11:09:17,2020-06-22 19:34:52.206140,SIG,elk
nasr,10:19:46,2020-06-22 19:34:52.206140,SIG,elk
sanjeet,5:21:31,2020-06-22 19:34:52.206140,SIG,elk
thea,8:49:44,2020-06-22 19:34:52.206140,SIG,elk
kant,11:06:50,2020-06-22 19:34:52.206140,SIG,elk
jfenton,10:36:58,2020-06-22 19:34:52.206140,SIG,elk
kjohn,2:09:47,2020-06-22 19:34:52.206140,SIG,elk
julias,1:41:17,2020-06-22 19:34:52.206140,SIG,elk
juke,5:15:47,2020-06-22 19:34:52.206140,SIG,elk
jbrusil,7:23:26,2020-06-22 19:34:52.206140,SIG,elk
tkleemo,6:15:06,2020-06-22 19:34:52.206140,SIG,elk
didzi,1:44:51,2020-06-22 19:34:52.206140,SIG,elk
rath,2:35:09,2020-06-22 19:34:52.206140,SIG,elk
deividas,7:56:47,2020-06-22 19:34:52.206140,SIG,elk
roxannet,9:26:49,2020-06-22 19:34:52.206140,SIG,elk
nara,6:01:15,2020-06-22 19:34:52.206140,SIG,elk
vila,9:57:41,2020-06-22 19:34:52.206140,SIG,elk
mdahl,11:54:00,2020-06-22 19:34:52.206140,SIG,elk
mleinon,8:24:05,2020-06-22 19:34:52.206140,SIG,elk
jkoisti,10:35:34,2020-06-22 19:34:52.206140,SIG,elk
marq,7:00:31,2020-06-22 19:34:52.206140,SIG,elk
edwinb,1:28:47,2020-06-22 19:34:52.206140,SIG,elk
weeee,21:59:07,2020-06-22 19:34:52.206140,SIG,elk
ric,9:06:41,2020-06-22 19:34:52.206140,SIG,elk
zalam,0:02:32,2020-06-22 19:34:52.206140,SIG,elk
slager,7:49:36,2020-06-22 19:34:52.206140,SIG,elk
edouard,5:04:01,2020-06-22 19:34:52.206140,SIG,elk
zacharia,4:39:54,2020-06-22 19:34:52.206140,SIG,elk
jos,10:10:18,2020-06-22 19:34:52.206140,SIG,elk
stonea,11:15:58,2020-06-22 19:34:52.206140,SIG,elk
dnichol,9:51:52,2020-06-22 19:34:52.206140,SIG,elk
hami,12:00:49,2020-06-22 19:34:52.206140,SIG,elk
acooper,10:58:03,2020-06-22 19:34:52.206140,SIG,elk
mebrahtu,11:58:32,2020-06-22 19:34:52.206140,SIG,elk
rhaines,7:52:41,2020-06-22 19:34:52.206140,SIG,elk
aras,2:50:56,2020-06-22 19:34:52.206140,SIG,elk
anush,6:09:36,2020-06-22 19:34:52.206140,SIG,elk
hanush,6:26:56,2020-06-22 19:34:52.206140,SIG,elk
anipet,8:42:49,2020-06-22 19:34:52.206140,SIG,elk
gha,9:25:39,2020-06-22 19:34:52.206140,SIG,elk
arman,8:45:15,2020-06-22 19:34:52.206140,SIG,elk
anip,9:49:28,2020-06-22 19:34:52.206140,SIG,elk
karo,12:46:11,2020-06-22 19:34:52.206140,SIG,elk
and,12:27:54,2020-06-22 19:34:52.206140,SIG,elk
micha,1:36:04,2020-06-22 19:34:52.206140,SIG,elk
acha,1:59:40,2020-06-22 19:34:52.206140,SIG,elk
liuy,8:48:34,2020-06-22 19:34:52.206140,SIG,elk
did,10:05:41,2020-06-22 19:34:52.206140,SIG,elk
yanc,9:23:31,2020-06-22 19:34:52.206140,SIG,elk
kun,7:50:17,2020-06-22 19:34:52.206140,SIG,elk
cli,21:44:14,2020-06-22 19:34:52.206140,SIG,elk
jiangw,7:45:57,2020-06-22 19:34:52.206140,SIG,elk
yuany,13:45:53,2020-06-22 19:34:52.206140,SIG,elk
xue,6:50:21,2020-06-22 19:34:52.206140,SIG,elk
chunxi,0:56:29,2020-06-22 19:34:52.206140,SIG,elk
qiao,8:36:26,2020-06-22 19:34:52.206140,SIG,elk
wangl,9:37:16,2020-06-22 19:34:52.206140,SIG,elk
qiuying,19:57:45,2020-06-22 19:34:52.206140,SIG,elk
haoche,3:36:40,2020-06-22 19:34:52.206140,SIG,elk
zhengyi,4:33:55,2020-06-22 19:34:52.206140,SIG,elk
xifeng,12:19:18,2020-06-22 19:34:52.206140,SIG,elk
zhu,13:57:18,2020-06-22 19:34:52.206140,SIG,elk
zyxue,13:24:24,2020-06-22 19:34:52.206140,SIG,elk
hou,13:42:43,2020-06-22 19:34:52.206140,SIG,elk
yuanh,10:24:17,2020-06-22 19:34:52.206140,SIG,elk
shanh,8:45:51,2020-06-22 19:34:52.206140,SIG,elk
shaungc,6:30:35,2020-06-22 19:34:52.206140,SIG,elk
xingw,14:48:04,2020-06-22 19:34:52.206140,SIG,elk
caiyun,2:39:55,2020-06-22 19:34:52.206140,SIG,elk
shuqin,1:07:54,2020-06-22 19:34:52.206140,SIG,elk
ran,0:56:37,2020-06-22 19:34:52.206140,SIG,elk
tra,0:14:28,2020-06-22 19:34:52.206140,SIG,elk
niu,2:54:37,2020-06-22 19:34:52.206140,SIG,elk
shuqi,7:03:39,2020-06-22 19:34:52.206140,SIG,elk
xiaowez,22:25:16,2020-06-22 19:34:52.206140,SIG,elk
lochen,5:46:10,2020-06-22 19:34:52.206140,SIG,elk
lih,0:14:36,2020-06-22 19:34:52.206140,SIG,elk
ander,0:33:41,2020-06-22 19:34:52.206140,SIG,elk
lshi,8:18:00,2020-06-22 19:34:52.206140,SIG,elk
qshao,3:12:30,2020-06-22 19:34:52.206140,SIG,elk
zhex,3:39:09,2020-06-22 19:34:52.206140,SIG,elk
xiongl,0:08:20,2020-06-22 19:34:52.206140,SIG,elk
shuqing,15:36:47,2020-06-22 19:34:52.206140,SIG,elk
qhuan,8:56:24,2020-06-22 19:34:52.206140,SIG,elk
shengfa,1:08:19,2020-06-22 19:34:52.206140,SIG,elk
aoli,1:39:13,2020-06-22 19:34:52.206140,SIG,elk
ren,9:08:45,2020-06-22 19:34:52.206140,SIG,elk
changjia,23:24:28,2020-06-22 19:34:52.206140,SIG,elk
lil,22:47:58,2020-06-22 19:34:52.206140,SIG,elk
weijian,0:06:34,2020-06-22 19:34:52.206140,SIG,elk
liuyil,12:21:17,2020-06-22 19:34:52.206140,SIG,elk
tongy,4:04:01,2020-06-22 19:34:52.206140,SIG,elk
dongdong,13:41:13,2020-06-22 19:34:52.206140,SIG,elk
jzou,5:14:42,2020-06-22 19:34:52.206140,SIG,elk
yongc,14:54:06,2020-06-22 19:34:52.206140,SIG,elk
yuchenw,17:43:34,2020-06-22 19:34:52.206140,SIG,elk
wenl,10:05:45,2020-06-22 19:34:52.206140,SIG,elk
xup,4:16:59,2020-06-22 19:34:52.206140,SIG,elk
xia,6:38:08,2020-06-22 19:34:52.206140,SIG,elk
xing,1:05:32,2020-06-22 19:34:52.206140,SIG,elk
rdan,4:37:20,2020-06-22 19:34:52.206140,SIG,elk
hed,3:33:56,2020-06-22 19:34:52.206140,SIG,elk
lijian,0:12:58,2020-06-22 19:34:52.206140,SIG,elk
changdon,0:07:20,2020-06-22 19:34:52.206140,SIG,elk
ryanx,7:29:42,2020-06-22 19:34:52.206140,SIG,elk
can,3:57:04,2020-06-22 19:34:52.206140,SIG,elk
lex,15:48:46,2020-06-22 19:34:52.206140,SIG,elk
