User,WorkingHours,@timestamp,BU,type
anar,10:09:27,2020-06-22 19:34:52.206140,SNPS,elk
hart,3:16:46,2020-06-22 19:34:52.206140,SNPS,elk
kuma,11:57:10,2020-06-22 19:34:52.206140,SNPS,elk
emma,0:25:20,2020-06-22 19:34:52.206140,SNPS,elk
jaeger,11:25:27,2020-06-22 19:34:52.206140,SNPS,elk
joern,9:02:01,2020-06-22 19:34:52.206140,SNPS,elk
ric,9:06:41,2020-06-22 19:34:52.206140,SNPS,elk
aras,2:50:56,2020-06-22 19:34:52.206140,SNPS,elk
akhacha,10:37:51,2020-06-22 19:34:52.206140,SNPS,elk
angin,20:30:56,2020-06-22 19:34:52.206140,SNPS,elk
sona,1:58:20,2020-06-22 19:34:52.206140,SNPS,elk
khac,13:40:18,2020-06-22 19:34:52.206140,SNPS,elk
khacha,12:53:03,2020-06-22 19:34:52.206140,SNPS,elk
hov,8:18:04,2020-06-22 19:34:52.206140,SNPS,elk
gha,9:25:39,2020-06-22 19:34:52.206140,SNPS,elk
and,12:27:54,2020-06-22 19:34:52.206140,SNPS,elk
acha,1:59:40,2020-06-22 19:34:52.206140,SNPS,elk
tra,0:14:28,2020-06-22 19:34:52.206140,SNPS,elk
ren,9:08:45,2020-06-22 19:34:52.206140,SNPS,elk
lil,22:47:58,2020-06-22 19:34:52.206140,SNPS,elk
lex,15:48:46,2020-06-22 19:34:52.206140,SNPS,elk
hanl,6:49:42,2020-06-22 19:34:52.206140,SNPS,elk
can,3:57:04,2020-06-22 19:34:52.206140,SNPS,elk
lisha,2:30:20,2020-06-22 19:34:52.206140,SNPS,elk
heng,4:17:12,2020-06-22 19:34:52.206140,SNPS,elk
anc,10:09:55,2020-06-22 19:34:52.206140,SNPS,elk
nch,10:38:27,2020-06-22 19:34:52.206140,SNPS,elk
ianr,3:44:42,2020-06-22 19:34:52.206140,SNPS,elk
ean,11:10:05,2020-06-22 19:34:52.206140,SNPS,elk
mayang,3:17:15,2020-06-22 19:34:52.206140,SNPS,elk
shu,15:24:55,2020-06-22 19:34:52.206140,SNPS,elk
anit,21:12:22,2020-06-22 19:34:52.206140,SNPS,elk
nas,20:25:48,2020-06-22 19:34:52.206140,SNPS,elk
smi,2:04:13,2020-06-22 19:34:52.206140,SNPS,elk
vis,10:57:15,2020-06-22 19:34:52.206140,SNPS,elk
urd,18:01:12,2020-06-22 19:34:52.206140,SNPS,elk
dev,5:59:30,2020-06-22 19:34:52.206140,SNPS,elk
kare,16:23:45,2020-06-22 19:34:52.206140,SNPS,elk
dina,1:10:56,2020-06-22 19:34:52.206140,SNPS,elk
gwang,18:26:49,2020-06-22 19:34:52.206140,SNPS,elk
logan,5:10:10,2020-06-22 19:34:52.206140,SNPS,elk
aro,8:52:31,2020-06-22 19:34:52.206140,SNPS,elk
acho,4:29:38,2020-06-22 19:34:52.206140,SNPS,elk
katy,1:41:41,2020-06-22 19:34:52.206140,SNPS,elk
bar,23:44:56,2020-06-22 19:34:52.206140,SNPS,elk
para,15:11:02,2020-06-22 19:34:52.206140,SNPS,elk
man,11:12:00,2020-06-22 19:34:52.206140,SNPS,elk
mit,4:11:45,2020-06-22 19:34:52.206140,SNPS,elk
chat,15:11:02,2020-06-22 19:34:52.206140,SNPS,elk
sing,11:24:03,2020-06-22 19:34:52.206140,SNPS,elk
sax,9:29:11,2020-06-22 19:34:52.206140,SNPS,elk
mbr,8:25:54,2020-06-22 19:34:52.206140,SNPS,elk
shra,11:04:24,2020-06-22 19:34:52.206140,SNPS,elk
gsp,11:54:11,2020-06-22 19:34:52.206140,SNPS,elk
kan,2:22:05,2020-06-22 19:34:52.206140,SNPS,elk
rag,9:56:34,2020-06-22 19:34:52.206140,SNPS,elk
kul,8:29:57,2020-06-22 19:34:52.206140,SNPS,elk
mal,11:04:03,2020-06-22 19:34:52.206140,SNPS,elk
mann,9:05:29,2020-06-22 19:34:52.206140,SNPS,elk
arn,6:31:47,2020-06-22 19:34:52.206140,SNPS,elk
kha,1:47:53,2020-06-22 19:34:52.206140,SNPS,elk
had,16:56:43,2020-06-22 19:34:52.206140,SNPS,elk
sharma,12:28:54,2020-06-22 19:34:52.206140,SNPS,elk
mishr,8:21:45,2020-06-22 19:34:52.206140,SNPS,elk
sanj,1:09:39,2020-06-22 19:34:52.206140,SNPS,elk
kau,10:49:22,2020-06-22 19:34:52.206140,SNPS,elk
mis,12:22:35,2020-06-22 19:34:52.206140,SNPS,elk
ayaf,0:44:22,2020-06-22 19:34:52.206140,SNPS,elk
mitsum,9:26:05,2020-06-22 19:34:52.206140,SNPS,elk
green,9:19:22,2020-06-22 19:34:52.206140,SNPS,elk
lem,5:58:44,2020-06-22 19:34:52.206140,SNPS,elk
pen,0:50:52,2020-06-22 19:34:52.206140,SNPS,elk
hsi,3:13:59,2020-06-22 19:34:52.206140,SNPS,elk
set,5:45:31,2020-06-22 19:34:52.206140,SNPS,elk
tri,13:10:24,2020-06-22 19:34:52.206140,SNPS,elk
sri,0:45:42,2020-06-22 19:34:52.206140,SNPS,elk
saxena,8:08:26,2020-06-22 19:34:52.206140,SNPS,elk
jai,7:31:36,2020-06-22 19:34:52.206140,SNPS,elk
mary,20:51:50,2020-06-22 19:34:52.206140,SNPS,elk
van,22:50:28,2020-06-22 19:34:52.206140,SNPS,elk
