User,WorkingHours,@timestamp,BU,type
ivo,0:00:01,2020-06-22 19:34:52.206140,VG,elk
junio,3:19:02,2020-06-22 19:34:52.206140,VG,elk
dulajgo,10:31:46,2020-06-22 19:34:52.206140,VG,elk
jsa,6:07:51,2020-06-22 19:34:52.206140,VG,elk
anar,10:09:27,2020-06-22 19:34:52.206140,VG,elk
krueckel,1:41:03,2020-06-22 19:34:52.206140,VG,elk
slezak,2:34:24,2020-06-22 19:34:52.206140,VG,elk
gummlich,14:42:28,2020-06-22 19:34:52.206140,VG,elk
jfarkas,3:12:32,2020-06-22 19:34:52.206140,VG,elk
ckuznik,11:13:46,2020-06-22 19:34:52.206140,VG,elk
bgolding,2:39:29,2020-06-22 19:34:52.206140,VG,elk
keding,2:36:56,2020-06-22 19:34:52.206140,VG,elk
dannyg,21:28:19,2020-06-22 19:34:52.206140,VG,elk
iellis,7:46:31,2020-06-22 19:34:52.206140,VG,elk
carmine,8:01:03,2020-06-22 19:34:52.206140,VG,elk
veer,3:48:49,2020-06-22 19:34:52.206140,VG,elk
ribbe,6:26:34,2020-06-22 19:34:52.206140,VG,elk
madhuri,19:44:36,2020-06-22 19:34:52.206140,VG,elk
yairk,6:16:37,2020-06-22 19:34:52.206140,VG,elk
andreasw,0:20:54,2020-06-22 19:34:52.206140,VG,elk
fengwang,1:38:37,2020-06-22 19:34:52.206140,VG,elk
todea,5:28:40,2020-06-22 19:34:52.206140,VG,elk
tobiasg,7:16:33,2020-06-22 19:34:52.206140,VG,elk
stennent,13:33:42,2020-06-22 19:34:52.206140,VG,elk
alangham,5:10:32,2020-06-22 19:34:52.206140,VG,elk
gihanwa,11:10:41,2020-06-22 19:34:52.206140,VG,elk
zqyao,0:00:54,2020-06-22 19:34:52.206140,VG,elk
fkramer,4:57:22,2020-06-22 19:34:52.206140,VG,elk
richter,9:35:17,2020-06-22 19:34:52.206140,VG,elk
retter,3:04:56,2020-06-22 19:34:52.206140,VG,elk
mfricke,8:51:21,2020-06-22 19:34:52.206140,VG,elk
giladtal,13:21:38,2020-06-22 19:34:52.206140,VG,elk
achim,1:18:27,2020-06-22 19:34:52.206140,VG,elk
tphilipp,23:01:34,2020-06-22 19:34:52.206140,VG,elk
dkorchem,13:35:02,2020-06-22 19:34:52.206140,VG,elk
stracke,8:01:17,2020-06-22 19:34:52.206140,VG,elk
ciprian,7:41:49,2020-06-22 19:34:52.206140,VG,elk
otal,20:59:56,2020-06-22 19:34:52.206140,VG,elk
helmutw,3:57:13,2020-06-22 19:34:52.206140,VG,elk
pyalla,0:46:35,2020-06-22 19:34:52.206140,VG,elk
shmuelov,16:27:07,2020-06-22 19:34:52.206140,VG,elk
baumann,9:20:53,2020-06-22 19:34:52.206140,VG,elk
hart,3:16:46,2020-06-22 19:34:52.206140,VG,elk
peters,0:21:42,2020-06-22 19:34:52.206140,VG,elk
tobiase,1:55:29,2020-06-22 19:34:52.206140,VG,elk
timkogel,13:50:00,2020-06-22 19:34:52.206140,VG,elk
ianc,0:22:25,2020-06-22 19:34:52.206140,VG,elk
mihais,3:34:19,2020-06-22 19:34:52.206140,VG,elk
khertig,16:33:54,2020-06-22 19:34:52.206140,VG,elk
binois,1:19:15,2020-06-22 19:34:52.206140,VG,elk
denisp,7:26:12,2020-06-22 19:34:52.206140,VG,elk
edh,0:02:47,2020-06-22 19:34:52.206140,VG,elk
leo,9:39:30,2020-06-22 19:34:52.206140,VG,elk
bartv,10:06:19,2020-06-22 19:34:52.206140,VG,elk
ispas,0:06:45,2020-06-22 19:34:52.206140,VG,elk
zhou,13:47:17,2020-06-22 19:34:52.206140,VG,elk
kuma,11:57:10,2020-06-22 19:34:52.206140,VG,elk
arsingh,6:43:59,2020-06-22 19:34:52.206140,VG,elk
andreasj,3:22:02,2020-06-22 19:34:52.206140,VG,elk
slasch,11:58:59,2020-06-22 19:34:52.206140,VG,elk
letitia,6:41:11,2020-06-22 19:34:52.206140,VG,elk
sreeniv,8:16:26,2020-06-22 19:34:52.206140,VG,elk
