User,WorkingHours,@timestamp,BU,type
hart,3:16:46,2020-06-22 19:34:52.206140,WWAS,elk
edh,0:02:47,2020-06-22 19:34:52.206140,WWAS,elk
kuma,11:57:10,2020-06-22 19:34:52.206140,WWAS,elk
cem,5:33:32,2020-06-22 19:34:52.206140,WWAS,elk
miro,8:05:37,2020-06-22 19:34:52.206140,WWAS,elk
kant,11:06:50,2020-06-22 19:34:52.206140,WWAS,elk
rath,2:35:09,2020-06-22 19:34:52.206140,WWAS,elk
ric,9:06:41,2020-06-22 19:34:52.206140,WWAS,elk
jos,10:10:18,2020-06-22 19:34:52.206140,WWAS,elk
and,12:27:54,2020-06-22 19:34:52.206140,WWAS,elk
micha,1:36:04,2020-06-22 19:34:52.206140,WWAS,elk
xwan,0:20:38,2020-06-22 19:34:52.206140,WWAS,elk
cli,21:44:14,2020-06-22 19:34:52.206140,WWAS,elk
hou,13:42:43,2020-06-22 19:34:52.206140,WWAS,elk
ran,0:56:37,2020-06-22 19:34:52.206140,WWAS,elk
tra,0:14:28,2020-06-22 19:34:52.206140,WWAS,elk
ren,9:08:45,2020-06-22 19:34:52.206140,WWAS,elk
xia,6:38:08,2020-06-22 19:34:52.206140,WWAS,elk
heng,4:17:12,2020-06-22 19:34:52.206140,WWAS,elk
anc,10:09:55,2020-06-22 19:34:52.206140,WWAS,elk
nch,10:38:27,2020-06-22 19:34:52.206140,WWAS,elk
ean,11:10:05,2020-06-22 19:34:52.206140,WWAS,elk
kenm,17:41:33,2020-06-22 19:34:52.206140,WWAS,elk
arvind,15:35:04,2020-06-22 19:34:52.206140,WWAS,elk
wade,22:25:57,2020-06-22 19:34:52.206140,WWAS,elk
jjia,1:36:19,2020-06-22 19:34:52.206140,WWAS,elk
ono,15:18:23,2020-06-22 19:34:52.206140,WWAS,elk
anthony,6:33:19,2020-06-22 19:34:52.206140,WWAS,elk
reiner,6:59:27,2020-06-22 19:34:52.206140,WWAS,elk
phi,9:02:27,2020-06-22 19:34:52.206140,WWAS,elk
irene,11:44:44,2020-06-22 19:34:52.206140,WWAS,elk
nas,20:25:48,2020-06-22 19:34:52.206140,WWAS,elk
smi,2:04:13,2020-06-22 19:34:52.206140,WWAS,elk
gao,2:36:13,2020-06-22 19:34:52.206140,WWAS,elk
anag,1:27:49,2020-06-22 19:34:52.206140,WWAS,elk
sasaki,5:01:28,2020-06-22 19:34:52.206140,WWAS,elk
