items,@timestamp,type,network_device_type
sdc-apic-1,2022-01-11 14:30:01.842505,detailed,US_ACI_STUFF
sdc-apic-2,2022-01-11 14:30:01.842505,detailed,US_ACI_STUFF
sdc-apic-3,2022-01-11 14:30:01.842505,detailed,US_ACI_STUFF
sdc-leaf-204,2022-01-11 14:30:01.842505,detailed,US_ACI_STUFF
sdc-spine-101,2022-01-11 14:30:01.842505,detailed,US_ACI_STUFF
sdc-spine-102,2022-01-11 14:30:01.842505,detailed,US_ACI_STUFF
sdc-leaf-205,2022-01-11 14:30:01.842505,detailed,US_ACI_STUFF
sdc-leaf-206,2022-01-11 14:30:01.842505,detailed,US_ACI_STUFF
sdc-leaf-207,2022-01-11 14:30:01.842505,detailed,US_ACI_STUFF
sdc-leaf-210,2022-01-11 14:30:01.842505,detailed,US_ACI_STUFF
sdc-leaf-211,2022-01-11 14:30:01.842505,detailed,US_ACI_STUFF
hqdc-apic-1.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_ACI_STUFF
 ,2022-01-11 14:30:01.842505,detailed,US_ACI_STUFF
hqdc-spine-101-mgmt,2022-01-11 14:30:01.842505,detailed,US_ACI_STUFF
hqdc-spine-102-mgmt,2022-01-11 14:30:01.842505,detailed,US_ACI_STUFF
hqdc-leaf-254-mgmt.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_ACI_STUFF
hqdc-leaf-253-mgmt.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_ACI_STUFF
hqdc-leaf-233,2022-01-11 14:30:01.842505,detailed,US_ACI_STUFF
hqdc-leaf-235,2022-01-11 14:30:01.842505,detailed,US_ACI_STUFF
hqdc-leaf-234,2022-01-11 14:30:01.842505,detailed,US_ACI_STUFF
sdc-Leaf-208-R203,2022-01-11 14:30:01.842505,detailed,US_ACI_STUFF
sdc-Leaf-209-R205,2022-01-11 14:30:01.842505,detailed,US_ACI_STUFF
hqdc-leaf-sl-201,2022-01-11 14:30:01.842505,detailed,US_ACI_STUFF
hqdc-leaf-sl-202,2022-01-11 14:30:01.842505,detailed,US_ACI_STUFF
hqdc-leaf-325-intel-10gfiber-d4,2022-01-11 14:30:01.842505,detailed,US_ACI_STUFF
hqdc-leaf-327-intel-40gfiber-d6,2022-01-11 14:30:01.842505,detailed,US_ACI_STUFF
hqdc-leaf-617-dsa-b6,2022-01-11 14:30:01.842505,detailed,US_ACI_STUFF
hqdc-leaf-616-dsa-b7,2022-01-11 14:30:01.842505,detailed,US_ACI_STUFF
badc-scs-sc9-leaf-201,2022-01-11 14:30:01.842505,detailed,US_ACI_STUFF
badc-scs-sc9-leaf-202,2022-01-11 14:30:01.842505,detailed,US_ACI_STUFF
badc-sc9-spine-1,2022-01-11 14:30:01.842505,detailed,US_ACI_STUFF
badc-sc9-spine-2,2022-01-11 14:30:01.842505,detailed,US_ACI_STUFF
sdc-leaf-201.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_ACI_STUFF
sdc-leaf-202.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_ACI_STUFF
sdc-leaf-203.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_ACI_STUFF
us01cppm03.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_CLEARPASS_SERVER
us01cppm02-drac.sp.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_CLEARPASS_SERVER
us01cppm01,2022-01-11 14:30:01.842505,detailed,US_CLEARPASS_SERVER
Us01cppm02,2022-01-11 14:30:01.842505,detailed,US_CLEARPASS_SERVER
Us03cppm01,2022-01-11 14:30:01.842505,detailed,US_CLEARPASS_SERVER
us04-guest-wifi-mgmt,2022-01-11 14:30:01.842505,detailed,US_CONTROLLER_GUEST
ca06-guest-wifi-mgmt,2022-01-11 14:30:01.842505,detailed,US_CONTROLLER_GUEST
hqdc-guest-wifi-mgmt,2022-01-11 14:30:01.842505,detailed,US_CONTROLLER_GUEST
us6l-a7010,2022-01-11 14:30:01.842505,detailed,US_CONTROLLER_LOCAL
us6j-a7010,2022-01-11 14:30:01.842505,detailed,US_CONTROLLER_LOCAL
us6o-a7010,2022-01-11 14:30:01.842505,detailed,US_CONTROLLER_LOCAL
us04-a7010,2022-01-11 14:30:01.842505,detailed,US_CONTROLLER_LOCAL
us1a-a7010,2022-01-11 14:30:01.842505,detailed,US_CONTROLLER_LOCAL
us03-a7205,2022-01-11 14:30:01.842505,detailed,US_CONTROLLER_LOCAL
us8e-a7010,2022-01-11 14:30:01.842505,detailed,US_CONTROLLER_LOCAL
us11-a7010,2022-01-11 14:30:01.842505,detailed,US_CONTROLLER_LOCAL
