@timestamp,type,network_device_type,total items
2022-01-11 12:00:02.595351,int,ACI_STUFF,32
2022-01-11 12:00:02.595351,int,CHECKPOINT_FW,41
2022-01-11 12:00:02.595351,int,CHECKPOINT_MGMT_LOG_SERVER,8
2022-01-11 12:00:02.595351,int,CLEARPASS_SERVER,5
2022-01-11 12:00:02.595351,int,CONTROLLER_GUEST,11
2022-01-11 12:00:02.595351,int,CONTROLLER_LOCAL,54
2022-01-11 12:00:02.595351,int,CONTROLLER_MASTER,5
2022-01-11 12:00:02.595351,int,CONTROLLER_RAP,5
2022-01-11 12:00:02.595351,int,CONTROLLER_WIRELESS_ONLY,3
2022-01-11 12:00:02.595351,int,JUNOS_PULSE,23
2022-01-11 12:00:02.595351,int,NETWORK_MANAGED_SCRIPT_SERVER,8
2022-01-11 12:00:02.595351,int,P2P Circuit,25
2022-01-11 12:00:02.595351,int,PAN_DC_FW,36
2022-01-11 12:00:02.595351,int,PAN_DMZ_FW,1
2022-01-11 12:00:02.595351,int,PAN_INTERNET_FW,15
2022-01-11 12:00:02.595351,int,RIVERBED,17
2022-01-11 12:00:02.595351,int,ROUTER,12
2022-01-11 12:00:02.595351,int,ROUTER_MPLS,41
2022-01-11 12:00:02.595351,int,ROUTER_SW_MODULE,8
2022-01-11 12:00:02.595351,int,ROUTER_VPN,66
2022-01-11 12:00:02.595351,int,SCS_STUFF,5
2022-01-11 12:00:02.595351,int,SWITCH_ACCESS,193
2022-01-11 12:00:02.595351,int,SWITCH_CORE,78
2022-01-11 12:00:02.595351,int,SWITCH_DC,35
2022-01-11 12:00:02.595351,int,SWITCH_DMZ,8
2022-01-11 12:00:02.595351,int,SWITCH_IP_MGMT,13
2022-01-11 12:00:02.595351,int,SWITCH_LAB,12
