items,@timestamp,type,network_device_type
ASE1GCP,2021-12-01 12:00:03.064082,interactive_dc_site_list,interactive_dc_site
BADC,2021-12-01 12:00:03.064082,interactive_dc_site_list,interactive_dc_site
BADC-SC5,2021-12-01 12:00:03.064082,interactive_dc_site_list,interactive_dc_site
CA06,2021-12-01 12:00:03.064082,interactive_dc_site_list,interactive_dc_site
CA09,2021-12-01 12:00:03.064082,interactive_dc_site_list,interactive_dc_site
CA11,2021-12-01 12:00:03.064082,interactive_dc_site_list,interactive_dc_site
CL01,2021-12-01 12:00:03.064082,interactive_dc_site_list,interactive_dc_site
SDC,2021-12-01 12:00:03.064082,interactive_dc_site_list,interactive_dc_site
SV2,2021-12-01 12:00:03.064082,interactive_dc_site_list,interactive_dc_site
US02,2021-12-01 12:00:03.064082,interactive_dc_site_list,interactive_dc_site
US03,2021-12-01 12:00:03.064082,interactive_dc_site_list,interactive_dc_site
US04,2021-12-01 12:00:03.064082,interactive_dc_site_list,interactive_dc_site
US1A,2021-12-01 12:00:03.064082,interactive_dc_site_list,interactive_dc_site
US2D,2021-12-01 12:00:03.064082,interactive_dc_site_list,interactive_dc_site
US6J,2021-12-01 12:00:03.064082,interactive_dc_site_list,interactive_dc_site
US8E,2021-12-01 12:00:03.064082,interactive_dc_site_list,interactive_dc_site
US8K,2021-12-01 12:00:03.064082,interactive_dc_site_list,interactive_dc_site
US95,2021-12-01 12:00:03.064082,interactive_dc_site_list,interactive_dc_site
USC1GCP,2021-12-01 12:00:03.064082,interactive_dc_site_list,interactive_dc_site
USW2-AWS,2021-12-01 12:00:03.064082,interactive_dc_site_list,interactive_dc_site
AM04,2021-12-01 12:00:03.064082,interactive_dc_site_list,interactive_dc_site
CH10,2021-12-01 12:00:03.064082,interactive_dc_site_list,interactive_dc_site
CN58,2021-12-01 12:00:03.064082,interactive_dc_site_list,interactive_dc_site
DE02,2021-12-01 12:00:03.064082,interactive_dc_site_list,interactive_dc_site
DE06,2021-12-01 12:00:03.064082,interactive_dc_site_list,interactive_dc_site
DE17,2021-12-01 12:00:03.064082,interactive_dc_site_list,interactive_dc_site
FI03,2021-12-01 12:00:03.064082,interactive_dc_site_list,interactive_dc_site
FR65,2021-12-01 12:00:03.064082,interactive_dc_site_list,interactive_dc_site
GB11,2021-12-01 12:00:03.064082,interactive_dc_site_list,interactive_dc_site
GB12,2021-12-01 12:00:03.064082,interactive_dc_site_list,interactive_dc_site
GB50,2021-12-01 12:00:03.064082,interactive_dc_site_list,interactive_dc_site
IL01,2021-12-01 12:00:03.064082,interactive_dc_site_list,interactive_dc_site
IN19,2021-12-01 12:00:03.064082,interactive_dc_site_list,interactive_dc_site
IN74,2021-12-01 12:00:03.064082,interactive_dc_site_list,interactive_dc_site
IN7b,2021-12-01 12:00:03.064082,interactive_dc_site_list,interactive_dc_site
INDC,2021-12-01 12:00:03.064082,interactive_dc_site_list,interactive_dc_site
JP01,2021-12-01 12:00:03.064082,interactive_dc_site_list,interactive_dc_site
JP02,2021-12-01 12:00:03.064082,interactive_dc_site_list,interactive_dc_site
KR02,2021-12-01 12:00:03.064082,interactive_dc_site_list,interactive_dc_site
LK01,2021-12-01 12:00:03.064082,interactive_dc_site_list,interactive_dc_site
MDC,2021-12-01 12:00:03.064082,interactive_dc_site_list,interactive_dc_site
NL03,2021-12-01 12:00:03.064082,interactive_dc_site_list,interactive_dc_site
NL20,2021-12-01 12:00:03.064082,interactive_dc_site_list,interactive_dc_site
PL01,2021-12-01 12:00:03.064082,interactive_dc_site_list,interactive_dc_site
PT01,2021-12-01 12:00:03.064082,interactive_dc_site_list,interactive_dc_site
PT02,2021-12-01 12:00:03.064082,interactive_dc_site_list,interactive_dc_site
RU20,2021-12-01 12:00:03.064082,interactive_dc_site_list,interactive_dc_site
SE80,2021-12-01 12:00:03.064082,interactive_dc_site_list,interactive_dc_site
SG01,2021-12-01 12:00:03.064082,interactive_dc_site_list,interactive_dc_site
TW04,2021-12-01 12:00:03.064082,interactive_dc_site_list,interactive_dc_site
TW52,2021-12-01 12:00:03.064082,interactive_dc_site_list,interactive_dc_site
