items,@timestamp,type,network_device_type
690A,2022-01-11 12:00:02.595351,interactive_site_list,site_count_all
ALOM,2022-01-11 12:00:02.595351,interactive_site_list,site_count_all
ASE1GCP,2022-01-11 12:00:02.595351,interactive_site_list,site_count_all
BADC,2022-01-11 12:00:02.595351,interactive_site_list,site_count_all
BADC-SC5,2022-01-11 12:00:02.595351,interactive_site_list,site_count_all
CA06,2022-01-11 12:00:02.595351,interactive_site_list,site_count_all
CA09,2022-01-11 12:00:02.595351,interactive_site_list,site_count_all
CA11,2022-01-11 12:00:02.595351,interactive_site_list,site_count_all
CA14,2022-01-11 12:00:02.595351,interactive_site_list,site_count_all
CA15,2022-01-11 12:00:02.595351,interactive_site_list,site_count_all
CA17,2022-01-11 12:00:02.595351,interactive_site_list,site_count_all
CA42,2022-01-11 12:00:02.595351,interactive_site_list,site_count_all
CL01,2022-01-11 12:00:02.595351,interactive_site_list,site_count_all
IndyDC,2022-01-11 12:00:02.595351,interactive_site_list,site_count_all
RDC,2022-01-11 12:00:02.595351,interactive_site_list,site_count_all
SDC,2022-01-11 12:00:02.595351,interactive_site_list,site_count_all
SMTC,2022-01-11 12:00:02.595351,interactive_site_list,site_count_all
SV1,2022-01-11 12:00:02.595351,interactive_site_list,site_count_all
SV2,2022-01-11 12:00:02.595351,interactive_site_list,site_count_all
SV3,2022-01-11 12:00:02.595351,interactive_site_list,site_count_all
SV8,2022-01-11 12:00:02.595351,interactive_site_list,site_count_all
US01-A,2022-01-11 12:00:02.595351,interactive_site_list,site_count_all
US02,2022-01-11 12:00:02.595351,interactive_site_list,site_count_all
US03,2022-01-11 12:00:02.595351,interactive_site_list,site_count_all
US04,2022-01-11 12:00:02.595351,interactive_site_list,site_count_all
US08,2022-01-11 12:00:02.595351,interactive_site_list,site_count_all
US11,2022-01-11 12:00:02.595351,interactive_site_list,site_count_all
US16,2022-01-11 12:00:02.595351,interactive_site_list,site_count_all
US1A,2022-01-11 12:00:02.595351,interactive_site_list,site_count_all
US1D,2022-01-11 12:00:02.595351,interactive_site_list,site_count_all
US26,2022-01-11 12:00:02.595351,interactive_site_list,site_count_all
US27,2022-01-11 12:00:02.595351,interactive_site_list,site_count_all
US2A,2022-01-11 12:00:02.595351,interactive_site_list,site_count_all
US2D,2022-01-11 12:00:02.595351,interactive_site_list,site_count_all
US54,2022-01-11 12:00:02.595351,interactive_site_list,site_count_all
US6J,2022-01-11 12:00:02.595351,interactive_site_list,site_count_all
US6L,2022-01-11 12:00:02.595351,interactive_site_list,site_count_all
US6O,2022-01-11 12:00:02.595351,interactive_site_list,site_count_all
US7M,2022-01-11 12:00:02.595351,interactive_site_list,site_count_all
US8E,2022-01-11 12:00:02.595351,interactive_site_list,site_count_all
US8K,2022-01-11 12:00:02.595351,interactive_site_list,site_count_all
US8W,2022-01-11 12:00:02.595351,interactive_site_list,site_count_all
US95,2022-01-11 12:00:02.595351,interactive_site_list,site_count_all
USC1GCP,2022-01-11 12:00:02.595351,interactive_site_list,site_count_all
USSV,2022-01-11 12:00:02.595351,interactive_site_list,site_count_all
USW2-AWS,2022-01-11 12:00:02.595351,interactive_site_list,site_count_all
AM04,2022-01-11 12:00:02.595351,interactive_site_list,site_count_all
BE06,2022-01-11 12:00:02.595351,interactive_site_list,site_count_all
CH10,2022-01-11 12:00:02.595351,interactive_site_list,site_count_all
CN08,2022-01-11 12:00:02.595351,interactive_site_list,site_count_all
CN29,2022-01-11 12:00:02.595351,interactive_site_list,site_count_all
CN30,2022-01-11 12:00:02.595351,interactive_site_list,site_count_all
CN34,2022-01-11 12:00:02.595351,interactive_site_list,site_count_all
CN42,2022-01-11 12:00:02.595351,interactive_site_list,site_count_all
CN45,2022-01-11 12:00:02.595351,interactive_site_list,site_count_all
CN58,2022-01-11 12:00:02.595351,interactive_site_list,site_count_all
CN63,2022-01-11 12:00:02.595351,interactive_site_list,site_count_all
DE02,2022-01-11 12:00:02.595351,interactive_site_list,site_count_all
DE04,2022-01-11 12:00:02.595351,interactive_site_list,site_count_all
DE06,2022-01-11 12:00:02.595351,interactive_site_list,site_count_all
DE11,2022-01-11 12:00:02.595351,interactive_site_list,site_count_all
