machinetype,@timestamp,vendor,network_device_type,type
3200,2020-12-12 14:30:13.203156,Aruba Networks Inc,CONTROLLER_MASTER,MachineType_INT
3200,2020-12-12 14:30:13.203156,Aruba Networks Inc,CONTROLLER_RAP,MachineType_INT
3400,2020-12-12 14:30:13.203156,Aruba Networks Inc,CONTROLLER_MASTER,MachineType_INT
5600,2020-12-12 14:30:13.203156,Check Point Software Technologies Ltd,CHECKPOINT_FW,MachineType_INT
5600,2020-12-12 14:30:13.203156,Check Point Software Technologies Ltd,NON_NETWORK_STUFF,MachineType_INT
7010-US,2020-12-12 14:30:13.203156,Aruba Networks Inc,CONTROLLER_GUEST,MachineType_INT
7010-US,2020-12-12 14:30:13.203156,Aruba Networks Inc,CONTROLLER_LOCAL,MachineType_INT
7030,2020-12-12 14:30:13.203156,Aruba Networks Inc,CONTROLLER_GUEST,MachineType_INT
7030,2020-12-12 14:30:13.203156,Aruba Networks Inc,CONTROLLER_LOCAL,MachineType_INT
7030,2020-12-12 14:30:13.203156,Aruba Networks Inc,CONTROLLER_MASTER,MachineType_INT
7030,2020-12-12 14:30:13.203156,Aruba Networks Inc,CONTROLLER_RAP,MachineType_INT
7205,2020-12-12 14:30:13.203156,Aruba Networks Inc,CONTROLLER_LOCAL,MachineType_INT
7205,2020-12-12 14:30:13.203156,Aruba Networks Inc,CONTROLLER_MASTER,MachineType_INT
APIC Server M2,2020-12-12 14:30:13.203156,Cisco,ACI_STUFF,MachineType_INT
Aruba a620,2020-12-12 14:30:13.203156,Aruba Networks Inc,CONTROLLER_MASTER,MachineType_INT
C3560E,2020-12-12 14:30:13.203156,Cisco,ROUTER_SW_MODULE,MachineType_INT
C3560E,2020-12-12 14:30:13.203156,Cisco,SWITCH_ACCESS,MachineType_INT
C3560E,2020-12-12 14:30:13.203156,Cisco,SWITCH_DC,MachineType_INT
C3560E,2020-12-12 14:30:13.203156,Cisco,SWITCH_LAB,MachineType_INT
Catalyst 2960,2020-12-12 14:30:13.203156,Cisco,SWITCH_IP_MGMT,MachineType_INT
Catalyst 3560X 24 PoE,2020-12-12 14:30:13.203156,Cisco,SWITCH_ACCESS,MachineType_INT
Catalyst 3560X 48,2020-12-12 14:30:13.203156,Cisco,SWITCH_ACCESS,MachineType_INT
Catalyst 3560X 48,2020-12-12 14:30:13.203156,Cisco,SWITCH_DC,MachineType_INT
Catalyst 3560X 48,2020-12-12 14:30:13.203156,Cisco,SWITCH_IP_MGMT,MachineType_INT
Catalyst 3560X 48 PoE,2020-12-12 14:30:13.203156,Cisco,NON_NETWORK_STUFF,MachineType_INT
Catalyst 3560X 48 PoE,2020-12-12 14:30:13.203156,Cisco,SWITCH_ACCESS,MachineType_INT
Catalyst 3560X 48 PoE,2020-12-12 14:30:13.203156,Cisco,SWITCH_DC,MachineType_INT
Catalyst 3560X 48 PoE,2020-12-12 14:30:13.203156,Cisco,SWITCH_LAB,MachineType_INT
Catalyst 3560X-48U,2020-12-12 14:30:13.203156,Cisco,SWITCH_ACCESS,MachineType_INT
Catalyst 3560X-48U,2020-12-12 14:30:13.203156,Cisco,SWITCH_LAB,MachineType_INT
Catalyst 37xx Stack,2020-12-12 14:30:13.203156,Cisco,SWITCH_ACCESS,MachineType_INT
Catalyst 37xx Stack,2020-12-12 14:30:13.203156,Cisco,SWITCH_CORE,MachineType_INT
Catalyst 37xx Stack,2020-12-12 14:30:13.203156,Cisco,SWITCH_DC,MachineType_INT
Catalyst 37xx Stack,2020-12-12 14:30:13.203156,Cisco,SWITCH_DMZ,MachineType_INT
Catalyst 37xx Stack,2020-12-12 14:30:13.203156,Cisco,SWITCH_IP_MGMT,MachineType_INT
Check Point Software Technologies Ltd,2020-12-12 14:30:13.203156,Check Point Software Technologies Ltd,CHECKPOINT_FW,MachineType_INT
CheckPoint 12200,2020-12-12 14:30:13.203156,Check Point Software Technologies Ltd,CHECKPOINT_FW,MachineType_INT
CheckPoint 13500,2020-12-12 14:30:13.203156,Check Point Software Technologies Ltd,CHECKPOINT_FW,MachineType_INT
CheckPoint 4400,2020-12-12 14:30:13.203156,Check Point Software Technologies Ltd,CHECKPOINT_FW,MachineType_INT
CheckPoint 5400,2020-12-12 14:30:13.203156,Check Point Software Technologies Ltd,CHECKPOINT_FW,MachineType_INT
CheckPoint IP290,2020-12-12 14:30:13.203156,Check Point Software Technologies Ltd,CHECKPOINT_FW,MachineType_INT
CheckPoint OpenServer,2020-12-12 14:30:13.203156,Check Point Software Technologies Ltd,CHECKPOINT_MGMT_LOG_SERVER,MachineType_INT
Cisco,2020-12-12 14:30:13.203156,Cisco,ACI_STUFF,MachineType_INT
Cisco,2020-12-12 14:30:13.203156,Cisco,NON_NETWORK_STUFF,MachineType_INT
Cisco,2020-12-12 14:30:13.203156,Cisco,SCS_STUFF,MachineType_INT
Cisco,2020-12-12 14:30:13.203156,Cisco,SWITCH_ACCESS,MachineType_INT
Cisco,2020-12-12 14:30:13.203156,Cisco,SWITCH_CORE,MachineType_INT
Cisco,2020-12-12 14:30:13.203156,Cisco,SWITCH_DC,MachineType_INT
Cisco,2020-12-12 14:30:13.203156,Cisco,SWITCH_DMZ,MachineType_INT
Cisco 2621,2020-12-12 14:30:13.203156,Cisco,SWITCH_IP_MGMT,MachineType_INT
Cisco 2911K9,2020-12-12 14:30:13.203156,Cisco,NON_NETWORK_STUFF,MachineType_INT
Cisco 2911K9,2020-12-12 14:30:13.203156,Cisco,ROUTER,MachineType_INT
Cisco 2911K9,2020-12-12 14:30:13.203156,Cisco,ROUTER_MPLS,MachineType_INT
Cisco 2911K9,2020-12-12 14:30:13.203156,Cisco,ROUTER_VPN,MachineType_INT
Cisco 2921K9,2020-12-12 14:30:13.203156,Cisco,NON_NETWORK_STUFF,MachineType_INT
Cisco 2921K9,2020-12-12 14:30:13.203156,Cisco,ROUTER,MachineType_INT
Cisco 2921K9,2020-12-12 14:30:13.203156,Cisco,ROUTER_VPN,MachineType_INT
Cisco 2951K9,2020-12-12 14:30:13.203156,Cisco,NON_NETWORK_STUFF,MachineType_INT
Cisco 2951K9,2020-12-12 14:30:13.203156,Cisco,ROUTER_VPN,MachineType_INT
Cisco 3560C-12PC-S,2020-12-12 14:30:13.203156,Cisco,SWITCH_ACCESS,MachineType_INT
Cisco 3925K9,2020-12-12 14:30:13.203156,Cisco,ROUTER,MachineType_INT
Cisco 3925K9,2020-12-12 14:30:13.203156,Cisco,ROUTER_VPN,MachineType_INT
Cisco 4321 ISR,2020-12-12 14:30:13.203156,Cisco,NON_NETWORK_STUFF,MachineType_INT
Cisco 4321 ISR,2020-12-12 14:30:13.203156,Cisco,ROUTER,MachineType_INT
Cisco 4331 ISR,2020-12-12 14:30:13.203156,Cisco,NON_NETWORK_STUFF,MachineType_INT
Cisco 4331 ISR,2020-12-12 14:30:13.203156,Cisco,ROUTER_MPLS,MachineType_INT
Cisco 4331 ISR,2020-12-12 14:30:13.203156,Cisco,ROUTER_VPN,MachineType_INT
Cisco 4351 ISR,2020-12-12 14:30:13.203156,Cisco,NON_NETWORK_STUFF,MachineType_INT
Cisco 4431 ISR,2020-12-12 14:30:13.203156,Cisco,NON_NETWORK_STUFF,MachineType_INT
Cisco 4431 ISR,2020-12-12 14:30:13.203156,Cisco,ROUTER,MachineType_INT
Cisco 4431 ISR,2020-12-12 14:30:13.203156,Cisco,ROUTER_MPLS,MachineType_INT
Cisco 4431 ISR,2020-12-12 14:30:13.203156,Cisco,ROUTER_VPN,MachineType_INT
Cisco ASR 1001 Router,2020-12-12 14:30:13.203156,Cisco,NON_NETWORK_STUFF,MachineType_INT
Cisco ASR 1001-X Router,2020-12-12 14:30:13.203156,Cisco,ROUTER_MPLS,MachineType_INT
Cisco ASR 1001-X Router,2020-12-12 14:30:13.203156,Cisco,ROUTER_VPN,MachineType_INT
Cisco ASR1002-X,2020-12-12 14:30:13.203156,Cisco,ROUTER_MPLS,MachineType_INT
Cisco Catalyst 2950t 24,2020-12-12 14:30:13.203156,Cisco,SWITCH_ACCESS,MachineType_INT
