machinetype,@timestamp,vendor,network_device_type,type
7010-US,2020-12-12 14:30:13.203156,Aruba Networks Inc,CONTROLLER_GUEST,MachineType_US
7010-US,2020-12-12 14:30:13.203156,Aruba Networks Inc,CONTROLLER_LOCAL,MachineType_US
7205,2020-12-12 14:30:13.203156,Aruba Networks Inc,CONTROLLER_GUEST,MachineType_US
7205,2020-12-12 14:30:13.203156,Aruba Networks Inc,CONTROLLER_LOCAL,MachineType_US
APIC Server M2,2020-12-12 14:30:13.203156,Cisco,ACI_STUFF,MachineType_US
Aruba 7220 wireless controller,2020-12-12 14:30:13.203156,Aruba Networks Inc,CONTROLLER_LOCAL,MachineType_US
Aruba 7220 wireless controller,2020-12-12 14:30:13.203156,Aruba Networks Inc,CONTROLLER_RAP,MachineType_US
Aruba JL074A 3810M-48G-PoE+-1-slot Switch,2020-12-12 14:30:13.203156,HP,SWITCH_LAB,MachineType_US
Aruba Networks Inc,2020-12-12 14:30:13.203156,Aruba Networks Inc,CONTROLLER_LOCAL,MachineType_US
C3560E,2020-12-12 14:30:13.203156,Cisco,ROUTER_SW_MODULE,MachineType_US
Catalyst 2960,2020-12-12 14:30:13.203156,Cisco,NON_NETWORK_STUFF,MachineType_US
Catalyst 356024 PS,2020-12-12 14:30:13.203156,Cisco,SWITCH_ACCESS,MachineType_US
Catalyst 3560X 48,2020-12-12 14:30:13.203156,Cisco,NON_NETWORK_STUFF,MachineType_US
Catalyst 3560X 48,2020-12-12 14:30:13.203156,Cisco,SWITCH_ACCESS,MachineType_US
Catalyst 3560X 48,2020-12-12 14:30:13.203156,Cisco,SWITCH_CORE,MachineType_US
Catalyst 3560X 48,2020-12-12 14:30:13.203156,Cisco,SWITCH_DC,MachineType_US
Catalyst 3560X 48,2020-12-12 14:30:13.203156,Cisco,SWITCH_LAB,MachineType_US
Catalyst 3560X 48 PoE,2020-12-12 14:30:13.203156,Cisco,SWITCH_ACCESS,MachineType_US
Catalyst 3560X 48 PoE,2020-12-12 14:30:13.203156,Cisco,SWITCH_CORE,MachineType_US
Catalyst 3560X 48 PoE,2020-12-12 14:30:13.203156,Cisco,SWITCH_LAB,MachineType_US
Catalyst 3560X-48U,2020-12-12 14:30:13.203156,Cisco,SWITCH_ACCESS,MachineType_US
Catalyst 37xx Stack,2020-12-12 14:30:13.203156,Cisco,SWITCH_ACCESS,MachineType_US
Catalyst 37xx Stack,2020-12-12 14:30:13.203156,Cisco,SWITCH_IP_MGMT,MachineType_US
Check Point Software Technologies Ltd,2020-12-12 14:30:13.203156,Check Point Software Technologies Ltd,CHECKPOINT_FW,MachineType_US
Check Point Software Technologies Ltd,2020-12-12 14:30:13.203156,Check Point Software Technologies Ltd,NON_NETWORK_STUFF,MachineType_US
CheckPoint 12200,2020-12-12 14:30:13.203156,Check Point Software Technologies Ltd,CHECKPOINT_FW,MachineType_US
CheckPoint 13500,2020-12-12 14:30:13.203156,Check Point Software Technologies Ltd,CHECKPOINT_FW,MachineType_US
CheckPoint 3200,2020-12-12 14:30:13.203156,Check Point Software Technologies Ltd,CHECKPOINT_FW,MachineType_US
CheckPoint 3200,2020-12-12 14:30:13.203156,Check Point Software Technologies Ltd,NON_NETWORK_STUFF,MachineType_US
CheckPoint 4400,2020-12-12 14:30:13.203156,Check Point Software Technologies Ltd,CHECKPOINT_FW,MachineType_US
CheckPoint 5400,2020-12-12 14:30:13.203156,Check Point Software Technologies Ltd,CHECKPOINT_FW,MachineType_US
CheckPoint 5600,2020-12-12 14:30:13.203156,Check Point Software Technologies Ltd,CHECKPOINT_FW,MachineType_US
CheckPoint IP290,2020-12-12 14:30:13.203156,Check Point Software Technologies Ltd,CHECKPOINT_FW,MachineType_US
CheckPoint OpenServer,2020-12-12 14:30:13.203156,Check Point Software Technologies Ltd,CHECKPOINT_MGMT_LOG_SERVER,MachineType_US
CheckPoint OpenServer,2020-12-12 14:30:13.203156,Check Point Software Technologies Ltd,NON_NETWORK_STUFF,MachineType_US
Cisco,2020-12-12 14:30:13.203156,Cisco,ACI_STUFF,MachineType_US
Cisco,2020-12-12 14:30:13.203156,Cisco,SWITCH_DC,MachineType_US
Cisco 2821,2020-12-12 14:30:13.203156,Cisco,NON_NETWORK_STUFF,MachineType_US
Cisco 2951K9,2020-12-12 14:30:13.203156,Cisco,ROUTER_MPLS,MachineType_US
Cisco 3845,2020-12-12 14:30:13.203156,Cisco,NON_NETWORK_STUFF,MachineType_US
Cisco 3945K9,2020-12-12 14:30:13.203156,Cisco,NON_NETWORK_STUFF,MachineType_US
Cisco 4321 ISR,2020-12-12 14:30:13.203156,Cisco,NON_NETWORK_STUFF,MachineType_US
Cisco 4331 ISR,2020-12-12 14:30:13.203156,Cisco,ROUTER_MPLS,MachineType_US
Cisco 4331 ISR,2020-12-12 14:30:13.203156,Cisco,ROUTER_VPN,MachineType_US
Cisco 4351 ISR,2020-12-12 14:30:13.203156,Cisco,NETWORK_MANAGED_SCRIPT_SERVER,MachineType_US
Cisco 4351 ISR,2020-12-12 14:30:13.203156,Cisco,NON_NETWORK_STUFF,MachineType_US
Cisco 4431 ISR,2020-12-12 14:30:13.203156,Cisco,NON_NETWORK_STUFF,MachineType_US
Cisco 4431 ISR,2020-12-12 14:30:13.203156,Cisco,ROUTER,MachineType_US
Cisco 4431 ISR,2020-12-12 14:30:13.203156,Cisco,ROUTER_MPLS,MachineType_US
Cisco 4431 ISR,2020-12-12 14:30:13.203156,Cisco,ROUTER_VPN,MachineType_US
Cisco ASR 1001 Router,2020-12-12 14:30:13.203156,Cisco,ROUTER_MPLS,MachineType_US
