@timestamp,type,network_device_type,total items
2022-01-11 12:00:02.595351,all,JUNOS_PULSE,37
2022-01-11 12:00:02.595351,all,SWITCH_ACCESS,271
2022-01-11 12:00:02.595351,all,SCS_STUFF,5
2022-01-11 12:00:02.595351,all,ROUTER_VPN,96
2022-01-11 12:00:02.595351,all,PAN_DC_FW,63
2022-01-11 12:00:02.595351,all,NETWORK_MANAGED_SCRIPT_SERVER,21
2022-01-11 12:00:02.595351,all,ACI_STUFF,67
2022-01-11 12:00:02.595351,all,PAN_LAB_FW,1
2022-01-11 12:00:02.595351,all,SWITCH_IP_MGMT,43
2022-01-11 12:00:02.595351,all,CONTROLLER_RAP,7
2022-01-11 12:00:02.595351,all,SWITCH_DMZ,10
2022-01-11 12:00:02.595351,all,DWDM-DC,2
2022-01-11 12:00:02.595351,all,ROUTER_MPLS,70
2022-01-11 12:00:02.595351,all,PAN_INTERNET_FW,24
2022-01-11 12:00:02.595351,all,SWITCH_LAB,46
2022-01-11 12:00:02.595351,all,PAN_DMZ_FW,4
2022-01-11 12:00:02.595351,all,CHECKPOINT_FW,65
2022-01-11 12:00:02.595351,all,CHECKPOINT_MGMT_LOG_SERVER,28
2022-01-11 12:00:02.595351,all,CONTROLLER_LOCAL,85
2022-01-11 12:00:02.595351,all,ESXI,4
2022-01-11 12:00:02.595351,all,RIVERBED,25
2022-01-11 12:00:02.595351,all,CONTROLLER_WIRELESS_ONLY,5
2022-01-11 12:00:02.595351,all,SWITCH_DC,128
2022-01-11 12:00:02.595351,all,CLEARPASS_SERVER,10
2022-01-11 12:00:02.595351,all,ROUTER_SW_MODULE,12
2022-01-11 12:00:02.595351,all,CONTROLLER_MASTER,8
2022-01-11 12:00:02.595351,all,CONTROLLER_GUEST,14
2022-01-11 12:00:02.595351,all,SWITCH_CORE,119
2022-01-11 12:00:02.595351,all,P2P Circuit,25
2022-01-11 12:00:02.595351,all,ROUTER,21
