items,@timestamp,serialnumber,type
gb01-vpn-router.internal.synopsys.com,2020-12-12 14:30:13.203156,FJC2050D0WU,Serial_int
gb01-c4510-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FXS2023Q2AH,Serial_int
de02-c4500x-1.internal.synopsys.com,2020-12-12 14:30:13.203156,JAE202601GV,Serial_int
de02-c4510-2.internal.synopsys.com,2020-12-12 14:30:13.203156,FXS2020Q4X8,Serial_int
gb50-vpn-router.internal.synopsys.com,2020-12-12 14:30:13.203156,FLM1905W0DD,Serial_int
fi01-mpls-router-1.synopsys.com,2020-12-12 14:30:13.203156,FLM2122W1LA,Serial_int
il01-vpn-router.internal.synopsys.com,2020-12-12 14:30:13.203156,FGL211311D6,Serial_int
il01-mpls-router-1.synopsys.com,2020-12-12 14:30:13.203156,FLM2204W099,Serial_int
mdc-mpls-router.internal.synopsys.com,2020-12-12 14:30:13.203156,FOX1815G7UW,Serial_int
il01-c3560x-3.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO1529Z0EV,Serial_int
ru20-vpn-router-1,2020-12-12 14:30:13.203156,FCZ2246403M,Serial_int
ru20-c3560x-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO1530V1GU,Serial_int
ru20-c3560x-2.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO1530V1EA,Serial_int
mo90-c2950-1,2020-12-12 14:30:13.203156,FOC0848Y3GQ,Serial_int
fr42-c2960s-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FOC1748V5Q2,Serial_int
indc-n6004-1a.internal.synopsys.com,2020-12-12 14:30:13.203156,FOC1838R2EP,Serial_int
indc-n6004-1b.internal.synopsys.com,2020-12-12 14:30:13.203156,FOC1742R02F,Serial_int
indc-c4500x-1.internal.synopsys.com,2020-12-12 14:30:13.203156,JAE2046046H,Serial_int
de04-c3850-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FOC1816U06Z,Serial_int
jp01-c4506-1.synopsys.com,2020-12-12 14:30:13.203156,FXS1823Q05V,Serial_int
am04-c3560x-trng-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO1537R0KA,Serial_int
in01-c6880x-1.internal.synopsys.com,2020-12-12 14:30:13.203156,SAL1931L53G,Serial_int
it01-c2960s-2.internal.synopsys.com,2020-12-12 14:30:13.203156,FOC1748V5R3,Serial_int
it01-c2960s-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FOC1749V04R,Serial_int
in45-c4510-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FXS1825Q059,Serial_int
in45-c3560-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO1832Z01U,Serial_int
IN74-c3560x-5.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO1522R0JU,Serial_int
powerink-vpn-router.internal.synopsys.com,2020-12-12 14:30:13.203156,FGL18401065,Serial_int
powerink-c3560-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO1836R1CP,Serial_int
am04-c4510-4.internal.synopsys.com,2020-12-12 14:30:13.203156,FXS1632Q0LJ,Serial_int
in19-c4506-2.synopsys.com,2020-12-12 14:30:13.203156,FXS1845Q2V2,Serial_int
in19-c3560-trng-new.synopsys.com,2020-12-12 14:30:13.203156,FDO1850E2NT,Serial_int
in19-c3650-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO1852E337,Serial_int
in19-c3650-2.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO1852E2WA,Serial_int
jp01-vpn-router.internal.synopsys.com,2020-12-12 14:30:13.203156,FGL212481PP,Serial_int
fr65-c3560x-5.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO1537P0QU,Serial_int
in18-c3850-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FOC1909U0RQ,Serial_int
sg01-c3750x-core.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO1737Z2AN,Serial_int
sg01-c3750x-3.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO1749R2NX,Serial_int
