items,@timestamp,serialnumber,type
badc-n5596-199a-1b,2020-12-12 14:30:13.203156,FOX1628HCMG,Serial_us
badc-n5596-201-1a,2020-12-12 14:30:13.203156,FOX1615G4LC,Serial_us
badc-n5596-201-1b,2020-12-12 14:30:13.203156,FOX1747GMJ2,Serial_us
badc-n5596-201-2a,2020-12-12 14:30:13.203156,FOX1615G35U,Serial_us
badc-n5596-199-1a,2020-12-12 14:30:13.203156,FOX1615G3A5,Serial_us
badc-n5596-199-1b,2020-12-12 14:30:13.203156,FOX1615G34K,Serial_us
badc-n5596-541-1a,2020-12-12 14:30:13.203156,FOX1615G4JR,Serial_us
badc-n5596-541-1b,2020-12-12 14:30:13.203156,FOX1615G4LE,Serial_us
badc-n5596-541-2a,2020-12-12 14:30:13.203156,FOX1615G4LH,Serial_us
badc-n5596-541-2b,2020-12-12 14:30:13.203156,FOX1615G4LF,Serial_us
badc-n5596-201-2b,2020-12-12 14:30:13.203156,FOX1615G4QT,Serial_us
badc-n5548-1837-2a,2020-12-12 14:30:13.203156,SSI164405BV,Serial_us
badc-n5548-1837-2b,2020-12-12 14:30:13.203156,SSI16150GN1,Serial_us
badc-n5548-1837-1a.internal.synopsys.com,2020-12-12 14:30:13.203156,SSI1517009K,Serial_us
badc-n5548-1837-1b,2020-12-12 14:30:13.203156,SSI152807RW,Serial_us
badc-n5596-1433-1b,2020-12-12 14:30:13.203156,FOX1526GXKP,Serial_us
badc-n5596-1433-1a,2020-12-12 14:30:13.203156,FOX1521GBPK,Serial_us
badc-n5596-199a-1a,2020-12-12 14:30:13.203156,FOX1615G3AF,Serial_us
badc-n5596-1702-1a,2020-12-12 14:30:13.203156,FOX1534GMRR,Serial_us
badc-c2960-1629-2.internal.synopsys.com,2020-12-12 14:30:13.203156,FOC1647X0ZB,Serial_us
badc-n5596-1629-2a,2020-12-12 14:30:13.203156,FOX1703GVK9,Serial_us
badc-n5596-1629-2b,2020-12-12 14:30:13.203156,FOX1705H1AB,Serial_us
badc-n5596-1629-3a,2020-12-12 14:30:13.203156,FOX1706GDLS,Serial_us
badc-n5596-1629-3b,2020-12-12 14:30:13.203156,FOX1706GDMD,Serial_us
us08-c2960x-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FCW2024A6UL,Serial_us
us54-c4500x-1.internal.synopsys.com,2020-12-12 14:30:13.203156,JAE20150A2S,Serial_us
us54-c4506-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FOX1221GH4H,Serial_us
us54-c4506-2.internal.synopsys.com,2020-12-12 14:30:13.203156,FOX1221GH4F,Serial_us
ca06-c4510-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FXS2020Q4ZH,Serial_us
ca06-c4506-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FOX1215G7R7,Serial_us
us16-c2960-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FCW2021A3AQ,Serial_us
ca09-vpn-router.internal.synopsys.com,2020-12-12 14:30:13.203156,FJC1949D14G,Serial_us
ca09-mpls-router.internal.synopsys.com,2020-12-12 14:30:13.203156,FLM2032W1SQ,Serial_us
us03-ccasp-cube.internal.synopsys.com,2020-12-12 14:30:13.203156,FLM2008W0E4,Serial_us
badc-n5648-199a-1a,2020-12-12 14:30:13.203156,FOC2037R04L,Serial_us
badc-n5648-199a-1b,2020-12-12 14:30:13.203156,FOC2044R1E8,Serial_us
us59-vpn-router.internal.synopsys.com,2020-12-12 14:30:13.203156,FLM2046W1MB,Serial_us
us59-c3650-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO2035E3JA,Serial_us
