devices,interfaces
AM04-mpls-router,GigabitEthernet0/0/0
CA06-mpls-router,GigabitEthernet0/0/1
CA14-mpls-router,GigabitEthernet0/0/1
CA42-mpls-router,GigabitEthernet0/0/0
CL01-mpls-router,GigabitEthernet0/0/0
CN30-mpls-router,GigabitEthernet0/0/0
CN34-mpls-router,GigabitEthernet0/0/0
CN42-mpls-router,GigabitEthernet0/0/1
CN58-mpls-router,GigabitEthernet0/0/0
CN63-mpls-router,GigabitEthernet0/0/0
DK03-mpls-router,GigabitEthernet0/0/2
FI01-mpls-router,GigabitEthernet0/0/1
FI03-mpls-router,GigabitEthernet0/0/2
FR03-mpls-router,GigabitEthernet0/0/1
FR65-mpls-router,GigabitEthernet0/0/2
GB01-mpls-router,GigabitEthernet0/0/1
GB11-mpls-router,GigabitEthernet0/0/1
GB12-mpls-router,GigabitEthernet0/0/1
GB50-mpls-router,GigabitEthernet0/0/1
GB72-mpls-router,GigabitEthernet0/0/1
INDC-mpls-router,GigabitEthernet0/0/0
JP01-mpls-router,GigabitEthernet0/0/0
KR02-mpls-router,GigabitEthernet0/0/0
NL03-mpls-router,GigabitEthernet0/0/1
NL20-mpls-router,GigabitEthernet0/0/1
PT01-mpls-router,GigabitEthernet0/0/1
PT02-mpls-router,GigabitEthernet0/0/1
SE80-mpls-router,GigabitEthernet0/0/1
SG01-mpls-router,GigabitEthernet0/0/0
SV1-mpls-router,GigabitEthernet0/0/0
SV2-mpls-router,GigabitEthernet0/0/0
TW01-mpls-router,GigabitEthernet0/0/0
TW04-mpls-router,GigabitEthernet0/0/1
TW52-mpls-router,GigabitEthernet0/0/0
US05-mpls-router,GigabitEthernet0/0/0
US08-mpls-router,GigabitEthernet0/0/0
US11-mpls-router,GigabitEthernet0/0/0
US16-mpls-router,GigabitEthernet0/0/0
US1A-mpls-router,GigabitEthernet0/0/0
US26-mpls-router,GigabitEthernet0/0/0
US36-mpls-router,GigabitEthernet0/0/1
US54-mpls-router,GigabitEthernet0/0/0
US6J-mpls-router,GigabitEthernet0/0/0
US7N-mpls-router,GigabitEthernet0/0/0
US8E-mpls-router,GigabitEthernet0/0/1
US8K-mpls-router,GigabitEthernet0/0/0
US8W-mpls-router,GigabitEthernet0/0/2
